	MM-DD	LiturgicalProperName	Collect of the Day
98		Trinity VII	LORD of all power and might, who art the author and giver of all good things: graft in our hearts the love of thy Name; increase in us true religion, nourish us with all goodness, and of thy great mercy keep us in the same; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
99		Trinity VIII	O GOD, whose never-failing providence ordereth all things both in heaven and earth: we humbly beseech thee to put away from us all hurtful things; and to give us those things which be profitable for us; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end.  * Amen.
100		Trinity IX	GRANT to us, Lord, we beseech thee, the spirit to think and do always such things as be rightful: that we, who cannot do any thing that is good without thee; may by thee be enabled to live according to thy will; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
101		Trinity X	LET THY merciful ears, O Lord, be open to the prayers of thy humble servants: and that they may obtain their petitions; make them to ask such things as shall please thee; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
102		Trinity XI	O GOD, who declarest thy almighty power most chiefly in showing mercy and pity: mercifully grant unto us such a measure of thy grace; that we, running the way of thy commandments, may obtain thy gracious promises, and be made partakers of thy heavenly treasure; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
103		Trinity XII	ALMIGHTY and everlasting God, who art always more ready to hear than we to pray, and art wont to give more than either we desire or deserve: pour down upon us the abundance of thy mercy; forgiving us those things whereof our conscience is afraid, and giving us those good things which we are not worthy to ask, but through the merits and mediation of Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
104		Trinity XIII	ALMIGHTY and merciful God, of whose only gift it cometh that thy faithful people do unto thee true and laudable service: grant, we beseech thee; that we may so faithfully serve thee in this life, that we fail not finally to attain thy heavenly promises; through the merits of Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
105		Trinity XIV	ALMIGHTY and everlasting God, give unto us the increase of faith, hope, and charity: and, that we may obtain that which thou dost promise; make us to love that which thou dost command; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
106		Trinity XV	KEEP, we beseech thee, O Lord, thy Church with thy perpetual mercy: and, because the frailty of man without thee cannot but fall; keep us ever by thy help from all things hurtful, and lead us to all things profitable to our salvation; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end.  * Amen.
107		Trinity XVI	O LORD, we beseech thee, let thy continual pity cleanse and defend thy Church: and, because she cannot continue in safety without thy succour; preserve her evermore by thy help and goodness; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
108		Trinity XVII	LORD, we pray thee that thy grace may always precede and follow us: and make us continually to be given to all good works; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
109		Trinitytide Ember Wednesday	GRANT, we beseech thee, O Lord, to us thy humble servants: that we, who do refrain ourselves from carnal feastings, may likewise fast from sin within our souls; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
110		Trinitytide Ember Friday	GRANT, we beseech thee, almighty God: that we, who year by year devotedly keep this holy ordinance of fasting, may serve thee acceptably both in body and soul; through Jesus Christ, thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
111		Trinitytide Ember Saturday	ALMIGHTY and everlasting God, who through godly continency bestowest healing both of body and soul: we humbly beseech thy majesty graciously to look upon the devout prayers and abstinence of thy people, granting us in this world the succour of thy grace, and in the world to come life everlasting; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
112		Trinity XVIII	LORD, we beseech thee, grant thy people grace to withstand the temptations of the world, the flesh, and the devil: and with pure hearts and minds to follow thee the only God; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
113		Trinity XIX	O GOD, forasmuch as without thee we are not able to please thee: mercifully grant; that thy Holy Spirit may in all things direct and rule our hearts; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the same Holy Spirit, ever one God, world without end. * Amen.
114		Trinity XX	O ALMIGHTY and most merciful God, of thy bountiful goodness keep us, we beseech thee, from all things that may hurt us: that we, being ready both in body and soul: may cheerfully accomplish those things which thou commandest; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
115		Trinity XXI	GRANT, we beseech thee, merciful Lord, to thy faithful people pardon and peace: that they may be cleansed from all their sins; and serve thee with a quiet mind; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
116		Trinity XXII	LORD, we beseech thee to keep thy household the Church in continual godliness: that through thy protection she may be free from all adversities; and devoutly given to serve thee in good works, to the glory of thy Name; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
117		Trinity XXIII	O GOD, our refuge and strength, who art the author of all godliness: be ready, we beseech thee, to hear the devout prayers of thy Church; and grant that those things which we ask faithfully we may obtain effectually; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end.  * Amen.
118		Trinity XXIV	O LORD, we beseech thee, absolve thy people from their offences: that through thy bountiful goodness we may all be delivered from the bonds of those sins, which by our frailty we have committed; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
119		Trinity XXV	O GOD, whose blessed Son was manifested that he might destroy the works of the devil, and make us the sons of God, and heirs of eternal life: grant us, we beseech thee, that, having this hope, we may purify ourselves, even as he is pure; that, when he shall appear again with power and great glory, we may be made like unto him in his eternal and glorious kingdom; where with thee, O Father, and thee, O Holy Spirit, he liveth and reigneth, ever one God, world without end. * Amen.
120		Trinity XXVI	O LORD, we beseech thee to keep thy Church and household continually in thy true religion: that they who do lean only upon the hope of thy heavenly grace; may evermore be defended by thy mighty power; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
121		Christ the King (alt)	ALMIGHTY and everlasting God, whose will it is to restore all things in thy well-beloved Son, the King of kings and Lord of lords: mercifully grant; that the peoples of the earth, divided and enslaved by sin, may be freed and brought together under his most gracious rule; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
122		Christ the King	STIR UP, we beseech thee, O Lord, the wills of thy faithful people: that they, plenteously bringing forth the fruit of good works; may of thee be plenteously rewarded; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end.  * Amen.
123		Ember Days II	O GOD, who didst lead thy holy Apostles to ordain ministers in every place: grant that thy Church, under the guidance of the Holy Spirit, may choose suitable men for the ministry of Word and Sacrament, and may uphold them in their work for the extension of thy kingdom; through him who is the Shepherd and Bishop of our souls, Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
124		Ember Days III	ALMIGHTY and everlasting God, by whose Spirit the whole body of thy faithful people is governed and sanctified: receive our supplications and prayers, which we offer before thee for all members of thy holy Church, that in their vocation and ministry they may truly and godly serve thee; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
125	2 January	Ss Basil the Great & Gregory Nazianzen, Bishops, Doctors of the Church	ALMIGHTY God, whose servants Basil and Gregory proclaimed the mystery of thy Word made flesh, that thy Church might be built up in wisdom and strength: grant that we, through their prayers, and rejoicing in the Lord’s presence among us, may with them be brought to know the power of thine unending love; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
126	3 January	The Most Holy Name of Jesus	ALMIGHTY God, who by thy blessed Apostle hast taught us that there is none other name given among men whereby we must be saved, but only the Name of our Lord Jesus Christ: grant, we beseech thee; that we may ever glory in this Name, and strive to make thy salvation known unto all mankind; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
127	7 January	St Raymond of Penyafort, Priest	O GOD, who didst appoint blessed Raymond excellently to minister the Sacrament of Penance, and didst wondrously make for him a passage upon the waves of the sea: grant, we pray thee; that, at his intercession, we may bring forth fruits worthy of repentance, and be found meet to attain to the harbour of everlasting salvation; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
128	12 January	St Benedict Biscop, Abbot	O GOD, by whose gift the blessed Abbot Benedict left all things that he might be made perfect: grant unto all those who have entered upon the path of evangelical perfection, that they may neither look back nor linger in the way; but hastening to thee without stumbling, may lay hold on life eternal; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
129		St Ælred of Rievaulx, Abbot	ALMIGHTY God, who didst endow the blessed Abbot Ælred with the gift of Christian friendship and the wisdom to lead others into the way of holiness: grant to thy people that same spirit of mutual affection; that in loving one another we may know the love of Christ and rejoice in the eternal possession of thine unsurpassable goodness; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
130	13 January	St Hilary, Bishop, Doctor	ALMIGHTY, everlasting God, whose servant Hilary steadfastly confessed thy Son our Saviour Jesus Christ to be very God and very Man: grant that we may hold to this faith, and evermore magnify his holy Name; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
131	13 January	St Kentigern (Mungo), Bishop	O GOD, who through thy Bishop Saint Kentigern made the light of the true faith to shine forth in splendour: grant, we pray, that by faithfully following the teaching of him whose feast we now celebrate, we may obtain the glory of eternal light; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
132	17 January	St Anthony, Abbot	MOST gracious God, who didst call thy servant Anthony to sell all that he had and to serve thee in the solitude of the desert: grant that we, through his intercession and following his example, may learn to deny ourselves and to love thee before all things; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
133	19 January	St Wulfstan, Bishop	O GOD, the light of the faithful and shepherd of souls, who didst call thy Bishop Wulfstan to feed thy sheep by his word, and guide them by his example: grant us, we pray thee, by his intercession, to keep the faith he taught, and to follow in his footsteps; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
134	20 January	St Sebastian, Martyr	GRANT unto us, we pray thee, O Lord, a spirit of fortitude: so that, taught by the glorious example of thy Martyr Saint Sebastian, we may learn to obey thee rather than men; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
135	21 January	St Agnes, Virgin, Martyr	ALMIGHTY and everlasting God, who dost choose the weak things of the world to confound those things that are strong: mercifully grant; that we, who keep the festival of blessed Agnes thy Martyr may perceive within ourselves the effect of her prayers; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
136	22 January	St Vincent, Deacon, Martyr	ALMIGHTY God, by whose grace and power thy holy Deacon and Martyr Vincent triumphed over suffering and despised death: grant, we beseech thee, by his intercession; that enduring hardness, and waxing valiant in fight, we may with the noble army of Martyrs receive the crown of everlasting life; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
137	24 January	St Francis de Sales, Bishop, Doctor	GOD OF all holiness, who didst call thy Bishop Francis de Sales to bring many to Christ through his devout life, and to renew thy Church with patience and understanding: grant that through his intercession; we may, by word and example, reflect thy gentleness and love to all those whom we meet; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
138	25 January	The Conversion of Saint Paul the Apostle	O GOD, who, through the preaching of the blessed Apostle Paul, hast caused the light of the Gospel to shine throughout the world: grant, we beseech thee; that we, having his wonderful conversion in remembrance, may show forth our thankfulness unto thee for the same, by following the holy doctrine which he taught; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
139	26 January	Ss Timothy & Titus, Bishops	HEAVENLY Father, who didst send thine Apostle Paul to preach the Gospel, and gavest him Timothy and Titus to be his companions in the Faith: grant that, through their prayers, our fellowship in the Holy Spirit may bear witness to the Name of Jesus; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
140	27 January	St Angela Merici, Virgin	O GOD, who through thy blessed Saint Angela didst cause a new household of Virgins consecrated to thy service to be established in thy Church: grant us, we pray thee, by her intercession, so to live after the manner of thy holy Angels; that, putting aside all things earthly, we may be found worthy to rejoice in everlasting felicity; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
141	28 January	St Thomas Aquinas, Priest, Doctor	EVERLASTING God, who didst enrich thy Church with the learning and holiness of thy servant Saint Thomas Aquinas: grant to all who seek thee a humble mind and a pure heart; that they may know thy Son Jesus Christ to be the way, the truth and the life; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
142	31 January	St John Bosco, Priest	O GOD, who didst raise up Saint John Bosco thy Confessor to be a father and teacher of the young, and through him, with the aid of the Virgin Mary, didst will that new families should flourish in thy Church: grant, we beseech thee; that being kindled by the same fire of charity, we may have the strength to seek for souls, and to serve thee alone; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
143	1 February	St Brigid of Kildare, Abbess	Common of Holy Men and Women: For an Abbess
144	2 February	Candlemas	ALMIGHTY and everliving God, we humbly beseech thy majesty: that, as thine Only Begotten Son was this day presented in the temple in substance of our flesh; so we may be presented unto thee with pure and clean hearts, by the same thy Son Jesus Christ our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
145	3 February	St Blaise, Bishop, Martyr	O GOD, who makest us glad with the yearly festival of blessed Blaise, thy Martyr and Bishop: mercifully grant that, as we now observe his heavenly birthday; so we may likewise rejoice in his protection; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
146	3 February	St Ansgar, Bishop	ALMIGHTY and gracious God, who didst send thy servant Ansgar to spread the Gospel among the Nordic peoples: through his intercession, we beseech thee to raise up, in this our generation, messengers of thy good tidings and heralds of thy kingdom; that the world may come to know the immeasurable riches of our Saviour Jesus Christ; who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
147	4 February	St Gilbert of Sempringham, Religious	Common of Holy Men and Women: For Religious.
148	5 February	St Agatha, Virgin, Martyr	O GOD, who among the manifold works of thine almighty power hast bestowed even upon the gentleness of women strength to win the victory of martyrdom: grant, we beseech thee; that we, who on this day recall the heavenly birth of Saint Agatha, thy Virgin and Martyr, may so follow in her footsteps, that we may likewise attain unto thee; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
149	6 February	St Paul Miki & Companions, Martyrs	O GOD, the strength of all the Saints, who through the Cross wast pleased to call the Martyrs Saint Paul Miki and Companions to everlasting life: grant, we pray; that by their intercession we may hold with courage to the faith that we profess, even unto death; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
150	8 February	St Jerome Emiliani	O GOD, the Father of mercies, who didst raise up blessed Jerome Emiliani to be a defender and father of the fatherless: vouchsafe, through his merits and intercession; that we may faithfully guard thy spirit of adoption, whereby we are called and are indeed thy children; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
151	8 February	St Josephine Bakhita, Virgin	O GOD, who didst lead Saint Josephine Bakhita from abject slavery to the dignity of being thy daughter and a bride of Christ: grant, we pray; that by her example we may show constant love for the Lord Jesus crucified, remaining steadfast in charity and prompt to show compassion; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
152	9 February	St Teilo, Bishop (Wales only)	O GOD, by whose grace the Bishop Saint Teilo taught thy Church with simplicity and sustained her in adversity by his prayers: grant her, we pray thee, in our own day, through his intercession and example, guidance and consolation; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
153	10 February	St Scholastica, Virgin	O GOD, who for a testimony to the path of innocency didst cause the soul of blessed Scholastica, thy Virgin, to enter heaven in the appearance of a dove: grant unto us, that by her merits and intercession we may walk in such innocency of life; that we may be worthy to attain to everlasting felicity; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
154	11 February	Our Lady of Lourdes	O GOD, who by the Immaculate Conception of the Blessed Virgin Mary didst consecrate a dwelling place meet for thy Son: we humbly pray thee, that we, celebrating the apparition of the same Blessed Virgin; may obtain thy healing, both in body and soul; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
155	14 February	Ss Cyril, Monk & Methodius, Bishop Patrons of Europe	ALMIGHTY and everlasting God, we thank thee for thy servants Cyril and Methodius, whom thou didst call to preach the Gospel to the Slavic peoples: raise up, we pray thee, in this and every land, heralds and evangelists of thy kingdom; that thy Church may make known the unsearchable riches of Christ, and may increase with the increase of God; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
156	17 February	Seven Holy Founders of the Servite Order	O LORD Jesus Christ, who for the remembrance of the sorrows of thy most holy Mother didst by the seven blessed Fathers enrich thy Church with a new household of her servants: mercifully grant that we may in such wise be joined to them in their sorrowing; that we may be made worthy to be partakers of their gladness; who livest and reignest with the Father, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
157	21 February	St Peter Damian, Bishop, Doctor	GRANT, we beseech thee, almighty God: that we may so follow the teaching and example of thy blessed Confessor Saint Peter Damian; that learning of him to despise all things earthly, we may attain in the end to everlasting felicity; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
158	22 February	The Chair of Saint Peter the Apostle	O ALMIGHTY God, who by thy Son Jesus Christ didst give to thy Apostle Saint Peter many excellent gifts, and commandedst him earnestly to feed thy flock: make, we beseech thee, all Bishops and Pastors diligently to preach thy holy Word, and the people obediently to follow the same; that they may receive the crown of everlasting glory; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
159	23 February	St Polycarp, Bishop, Martyr	FULFIL, O Lord, the petitions of thy servants: who on this day devoutly reverence the passion of blessed Polycarp thy Martyr and Bishop; and accept us, together with him, as a whole burnt offering dedicated unto thee; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
160	1 March	St David, Bishop Patron of Wales (England & Scotland: Feast, Wales: Solemnity)	O ALMIGHTY God, who in thy providence didst choose thy servant David to be an apostle to the people of Wales to bring those who were wandering in darkness and error to the true light and knowledge of thee: grant us by his intercession so to walk in that light; that we may come at last to the light of everlasting life; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
161	4 March	St Casimir	O GOD, who, amidst the pleasures of a temporal kingdom, didst endue thy blessed Saint Casimir with constancy to resist all temptations: grant, we beseech thee; that by his intercession, thy faithful people may learn to despise all things earthly, and to seek earnestly after all things heavenly; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
162	5 March	St Piran, Abbot	Common of Holy Men and Women: For an Abbot
163	7 March	Ss Perpetua & Felicity, Martyrs	O HOLY God, who gavest great courage to Saints Perpetua, Felicity and their Companions: grant that, through their prayers, we may be worthy to climb the ladder of sacrifice; and be received into the garden of peace; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
164	8 March	St John of God, Religious	O GOD, who didst cause blessed John, by the fire of thy love, to pass unhurt amid the flames, and through him didst enrich thy Church with a new offspring: grant, by the pleading of his merits; that our vices may be healed by the fire of thy charity, and that we may obtain thine eternal healing; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
165	9 March	St Frances of Rome, Religious	O GOD, who amongst other gifts of thy grace, didst honour blessed Frances, thy handmaid, with the familiar converse of an Angel: grant, we beseech thee; that by the help of her intercession, we may be worthy to attain unto the fellowship of the Angels in thy heavenly kingdom; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
166	17 March	St Patrick, Bishop Patron of Ireland	O ALMIGHTY God, who in thy providence didst  choose thy servant Patrick to be an apostle to the people of Ireland, to bring those who were wandering in darkness and error to the true light and knowledge of thee: grant us by his intercession so to walk in that light; that we may come at last to the light of everlasting life; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
167	18 March	St Cyril of Jerusalem, Bishop, Doctor	GRANT, we beseech thee, almighty God: that at the intercession of thy blessed Bishop Saint Cyril, we may learn to know thee, the only true God, and Jesus Christ, whom thou hast sent; that we may be found worthy to be numbered for ever among the sheep that hear his voice; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
168	19 March	St Joseph	O GOD, who from the house of thy servant David didst raise up Saint Joseph to be the guardian of thine incarnate Son, and spouse of his Virgin Mother: give us grace to imitate his uprightness of life and his obedience to thy commands; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
169	23 March	St Turibius de Mogrovejo, Bishop	O GOD, who gavest increase to thy Church through the apostolic labours and zeal for truth of the Bishop Saint Turibius: grant that the people consecrated to thee may always receive new growth in faith and holiness; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
170	25 March	The Annunciation to our Lady (Lady Day)	WE BESEECH thee, O Lord, pour thy grace into our hearts: that, as we have known the Incarnation of thy Son Jesus Christ by the message of an Angel; so by his Cross and Passion we may be brought unto the glory of his Resurrection; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
171	2 April	St Francis of Paola, Hermit	O GOD, who, by exalting the humble, didst raise the blessed Confessor Francis to the glory of thy Saints: grant, we beseech thee; that, through his merits and example, we may attain with gladness unto the rewards promised to them that are lowly of heart; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
172	4 April	St Isidore, Bishop, Doctor	O GOD, by whose providence blessed Isidore was sent to guide thy people in the way of everlasting salvation: grant, we beseech thee; that as we have learned of him the doctrine of life on earth, so we may be found worthy to have him for our advocate in heaven; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
173	5 April	St Vincent Ferrer, Priest	O GOD, who didst vouchsafe to illumine thy Church by the merits and preaching of blessed Vincent thy Confessor: grant to us thy servants; that we may both be instructed by his example, and by his advocacy be delivered from all adversities; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
174	7 April	St John Baptist de la Salle, Priest	O GOD, who for the Christian education of the poor, and for the confirmation of the young in the way of truth, didst raise up the holy Confessor John Baptist de la Salle and through him didst gather a new family in the Church: graciously grant; that by his intercession and example we, being kindled with zeal for thy glory in the salvation of souls, may be enabled to be made partakers of his crown in heaven; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
175	11 April	St Stanislaus, Bishop, Martyr	O GOD, for whose honour the glorious Bishop Stanislaus was slain by the swords of wicked men: grant, we beseech thee; that all who call upon him for succour, may obtain the saving effect of their petition; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
176	13 April	St Martin I, Pope, Martyr	EVERLASTING Shepherd, favourably look upon thy flock: and keep it with perpetual protection through the prayers of blessed Martin thy Martyr and Supreme Pontiff, whom thou didst appoint to be shepherd of the whole Church; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
177	16 April	St Magnus of Orkney, Martyr	PROTECT us, O Lord, by the glorious merits of Saint Magnus thy Martyr: and may we, proclaiming the works of thy majesty therein, likewise obtain thy succour both in this world, and in that which is to come; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
178	19 April	St Alphege, Bishop, Martyr	O GOD, who didst adorn blessed Alphege, most devout Confessor of thy Name, with the dignity of the priesthood and the palm of martyrdom: mercifully grant, that we may so be aided by his intercession before thee; that we may be enabled to rejoice with him in eternal felicity; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
179	20 April	St Beuno, Abbot (Wales only)	GRANT, O Lord, we pray thee: that by the intercession of Saint Beuno thy Church may increase both in wisdom and fidelity to thee; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
180	21 April	St Anselm of Canterbury, Bishop, Doctor	O EVERLASTING God, who gavest to thy Bishop Anselm singular gifts as a pastor and teacher: grant that we, like him, may desire thee with our whole heart; and, so desiring, may seek thee and, seeking, may find thee; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
181	23 April	St George, Martyr, Patron of England	O GOD of hosts, who didst so kindle the flame of love in the heart of thy servant George that he bore witness to the risen Lord by his life and by his death: grant us the same power of faith and love; that we, who rejoice in his triumphs, may come to share with him the fullness of the Resurrection; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end.  * Amen.
182	24 April	St Fidelis of Sigmaringen, Priest, Martyr	O GOD, who didst enkindle blessed Fidelis with seraphic ardour of spirit in the propagation of the true Faith, and didst vouchsafe to adorn him with the palm of martyrdom, and with glorious miracles: we beseech thee, that, by his merits and intercession, thou wouldst so confirm us through thy grace in faith and charity; that in thy service we may be worthy to be found faithful, even unto death; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
183	24 April alt1	St Adalbert, Bishop, Martyr	O GOD, who didst bestow the crown of martyrdom on the Bishop Saint Adalbert, as he burned with zeal for souls: grant, we pray, by his prayers; that the obedience of the flock may never fail the shepherds, nor the care of the shepherds be ever lacking to the flock; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.
