Psalm1.0	Psalm 1. Beatus vir, qui non abiit.	Psalm 1. Beatus vir, qui non abiit.	1000	1
Psalm45.16	16 With joy and gladness shall they be brought * and shall enter into the King's palace.	With joy and gladness shall they be brought * and shall enter into the King's palace.	45016	755
Psalm45.17	17 Instead of thy fathers thou shalt have children * whom thou mayest make princes in all lands.	Instead of thy fathers thou shalt have children * whom thou mayest make princes in all lands.	45017	756
Psalm45.18	18 I will remember thy Name from one generation to another * therefore shall the people give thanks unto thee, world without end.	I will remember thy Name from one generation to another * therefore shall the people give thanks unto thee, world without end.	45018	757
Psalm46.0	Psalm 46. Deus noster refugium.	Psalm 46. Deus noster refugium.	46000	758
Psalm46.1	1 GOD is our hope and strength * a very present help in trouble.	GOD is our hope and strength * a very present help in trouble.	46001	759
Psalm46.2	2 Therefore will we not fear, though the earth be moved * and though the hills be carried into the midst of the sea;	Therefore will we not fear, though the earth be moved * and though the hills be carried into the midst of the sea;	46002	760
Psalm46.3	3 Though the waters thereof rage and swell * and though the mountains shake at the tempest of the same.	Though the waters thereof rage and swell * and though the mountains shake at the tempest of the same.	46003	761
Psalm46.4	4 The rivers of the flood thereof shall make glad the city of God * the holy place of the tabernacle of the most Highest.	The rivers of the flood thereof shall make glad the city of God * the holy place of the tabernacle of the most Highest.	46004	762
Psalm46.5	5 God is in the midst of her, therefore shall she not be removed * God shall help her, and that right early.	God is in the midst of her, therefore shall she not be removed * God shall help her, and that right early.	46005	763
Psalm46.6	6 The heathen make much ado, and the kingdoms are moved * but God hath shewed his voice, and the earth shall melt away.	The heathen make much ado, and the kingdoms are moved * but God hath shewed his voice, and the earth shall melt away.	46006	764
Psalm46.7	7 The Lord of hosts is with us * the God of Jacob is our refuge.	The Lord of hosts is with us * the God of Jacob is our refuge.	46007	765
Psalm46.8	8 O come hither, and behold the works of the Lord * what destruction he hath brought upon the earth.	O come hither, and behold the works of the Lord * what destruction he hath brought upon the earth.	46008	766
Psalm46.9	9 He maketh wars to cease in all the world * he breaketh the bow, and knappeth the spear in sunder, and burneth the chariots in the fire.	He maketh wars to cease in all the world * he breaketh the bow, and knappeth the spear in sunder, and burneth the chariots in the fire.	46009	767
Psalm46.10	10 Be still then, and know that I am God * I will be exalted among the heathen, and I will be exalted in the earth.	Be still then, and know that I am God * I will be exalted among the heathen, and I will be exalted in the earth.	46010	768
Psalm46.11	11 The Lord of hosts is with us * the God of Jacob is our refuge.	The Lord of hosts is with us * the God of Jacob is our refuge.	46011	769
Psalm47.0	Psalm 47. Omnes gentes, plaudite.	Psalm 47. Omnes gentes, plaudite.	47000	770
Psalm47.1	1 O CLAP your hands together, all ye people * O sing unto God with the voice of melody.	O CLAP your hands together, all ye people * O sing unto God with the voice of melody.	47001	771
Psalm47.2	2 For the Lord is high, and to be feared * he is the great King upon all the earth.	For the Lord is high, and to be feared * he is the great King upon all the earth.	47002	772
Psalm47.3	3 He shall subdue the people under us * and the nations under our feet.	He shall subdue the people under us * and the nations under our feet.	47003	773
Psalm47.4	4 He shall choose out an heritage for us * even the worship of Jacob, whom he loved.	He shall choose out an heritage for us * even the worship of Jacob, whom he loved.	47004	774
Psalm47.5	5 God is gone up with a merry noise * and the Lord with the sound of the trump.	God is gone up with a merry noise * and the Lord with the sound of the trump.	47005	775
Psalm47.6	6 O sing praises, sing praises unto our God * O sing praises, sing praises unto our King.	O sing praises, sing praises unto our God * O sing praises, sing praises unto our King.	47006	776
Psalm47.7	7 For God is the King of all the earth * sing ye praises with understanding.	For God is the King of all the earth * sing ye praises with understanding.	47007	777
Psalm47.8	8 God reigneth over the heathen * God sitteth upon his holy seat.	God reigneth over the heathen * God sitteth upon his holy seat.	47008	778
Psalm47.9	9 The princes of the people are joined unto the people of the God of Abraham * for God, which is very high exalted, doth defend the earth, as it were with a shield.	The princes of the people are joined unto the people of the God of Abraham * for God, which is very high exalted, doth defend the earth, as it were with a shield.	47009	779
Psalm48.0	Psalm 48. Magnus Dominus.	Psalm 48. Magnus Dominus.	48000	780
Psalm48.1	1 GREAT is the Lord, and highly to be praised * in the city of our God, even upon his holy hill.	GREAT is the Lord, and highly to be praised * in the city of our God, even upon his holy hill.	48001	781
Psalm48.2	2 The hill of Sion is a fair place, and the joy of the whole earth * upon the north-side lieth the city of the great King; God is well known in her palaces as a sure refuge.	The hill of Sion is a fair place, and the joy of the whole earth * upon the north-side lieth the city of the great King; God is well known in her palaces as a sure refuge.	48002	782
Psalm48.3	3 For lo, the kings of the earth * are gathered, and gone by together.	For lo, the kings of the earth * are gathered, and gone by together.	48003	783
Psalm48.4	4 They marvelled to see such things * they were astonished, and suddenly cast down.	They marvelled to see such things * they were astonished, and suddenly cast down.	48004	784
Psalm48.5	5 Fear came there upon them, and sorrow * as upon a woman in her travail.	Fear came there upon them, and sorrow * as upon a woman in her travail.	48005	785
Psalm48.6	6 Thou shalt break the ships of the sea * through the east-wind.	Thou shalt break the ships of the sea * through the east-wind.	48006	786
Psalm48.7	7 Like as we have heard, so have we seen in the city of the Lord of hosts, in the city of our God * God upholdeth the same for ever.	Like as we have heard, so have we seen in the city of the Lord of hosts, in the city of our God * God upholdeth the same for ever.	48007	787
Psalm48.8	8 We wait for thy loving-kindness, O God * in the midst of thy temple.	We wait for thy loving-kindness, O God * in the midst of thy temple.	48008	788
Psalm48.9	9 O God, according to thy Name, so is thy praise unto the world's end * thy right hand is full of righteousness.	O God, according to thy Name, so is thy praise unto the world's end * thy right hand is full of righteousness.	48009	789
Psalm48.10	10 Let the mount Sion rejoice, and the daughters of Judah be glad * because of thy judgements.	Let the mount Sion rejoice, and the daughters of Judah be glad * because of thy judgements.	48010	790
Psalm48.11	11 Walk about Sion, and go round about her * and tell the towers thereof.	Walk about Sion, and go round about her * and tell the towers thereof.	48011	791
Psalm48.12	12 Mark well her bulwarks, set up her houses * that ye may tell them that come after.	Mark well her bulwarks, set up her houses * that ye may tell them that come after.	48012	792
Psalm48.13	13 For this God is our God for ever and ever * he shall be our guide unto death.	For this God is our God for ever and ever * he shall be our guide unto death.	48013	793
Psalm49.0	Psalm 49. Audite haec, omnes.	Psalm 49. Audite haec, omnes.	49000	794
Psalm49.1	1 O HEAR ye this, all ye people * ponder it with your ears, all ye that dwell in the world;	O HEAR ye this, all ye people * ponder it with your ears, all ye that dwell in the world;	49001	795
Psalm49.2	2 High and low, rich and poor * one with another.	High and low, rich and poor * one with another.	49002	796
Psalm49.3	3 My mouth shall speak of wisdom * and my heart shall muse of understanding.	My mouth shall speak of wisdom * and my heart shall muse of understanding.	49003	797
Psalm49.4	4 I will incline mine ear to the parable * and shew my dark speech upon the harp.	I will incline mine ear to the parable * and shew my dark speech upon the harp.	49004	798
Psalm49.5	5 Wherefore should I fear in the days of wickedness * and when the wickedness of my heels compasseth me round about?	Wherefore should I fear in the days of wickedness * and when the wickedness of my heels compasseth me round about?	49005	799
Psalm49.6	6 There be some that put their trust in their goods * and boast themselves in the multitude of their riches.	There be some that put their trust in their goods * and boast themselves in the multitude of their riches.	49006	800
Psalm49.7	7 But no man may deliver his brother * nor make agreement unto God for him;	But no man may deliver his brother * nor make agreement unto God for him;	49007	801
Psalm49.8	8 For it cost more to redeem their souls * so that he must let that alone for ever;	For it cost more to redeem their souls * so that he must let that alone for ever;	49008	802
Psalm49.9	9 Yea, though he live long * and see not the grave.	Yea, though he live long * and see not the grave.	49009	803
Psalm49.10	10 For he seeth that wise men also die, and perish together * as well as the ignorant and foolish, and leave their riches for other.	For he seeth that wise men also die, and perish together * as well as the ignorant and foolish, and leave their riches for other.	49010	804
Psalm49.11	11 And yet they think that their houses shall continue for ever * and that their dwelling-places shall endure from one generation to another; and call the lands after their own names.	And yet they think that their houses shall continue for ever * and that their dwelling-places shall endure from one generation to another; and call the lands after their own names.	49011	805
Psalm49.12	12 Nevertheless, man will not abide in honour * seeing he may be compared unto the beasts that perish; this is the way of them.	Nevertheless, man will not abide in honour * seeing he may be compared unto the beasts that perish; this is the way of them.	49012	806
Psalm49.13	13 This is their foolishness * and their posterity praise their saying.	This is their foolishness * and their posterity praise their saying.	49013	807
Psalm49.14	14 They lie in the hell like sheep, death gnaweth upon them, and the righteous shall have domination over them in the morning * their beauty shall consume in the sepulchre out of their dwelling.	They lie in the hell like sheep, death gnaweth upon them, and the righteous shall have domination over them in the morning * their beauty shall consume in the sepulchre out of their dwelling.	49014	808
Psalm49.15	15 But God hath delivered my soul from the place of hell * for he shall receive me.	But God hath delivered my soul from the place of hell * for he shall receive me.	49015	809
Psalm49.16	16 Be not thou afraid, though one be made rich * or if the glory of his house be increased;	Be not thou afraid, though one be made rich * or if the glory of his house be increased;	49016	810
Psalm49.17	17 For he shall carry nothing away with him when he dieth * neither shall his pomp follow him.	For he shall carry nothing away with him when he dieth * neither shall his pomp follow him.	49017	811
Psalm49.18	18 For while he lived, he counted himself an happy man * and so long as thou doest well unto thyself, men will speak good of thee.	For while he lived, he counted himself an happy man * and so long as thou doest well unto thyself, men will speak good of thee.	49018	812
Psalm49.19	19 He shall follow the generation of his fathers * and shall never see light.	He shall follow the generation of his fathers * and shall never see light.	49019	813
Psalm49.20	20 Man being in honour hath no understanding * but is compared unto the beasts that perish.	Man being in honour hath no understanding * but is compared unto the beasts that perish.	49020	814
Psalm50.0	Psalm 50. Deus deorum.	Psalm 50. Deus deorum.	50000	815
Psalm50.1	1 THE Lord, even the most mighty God, hath spoken * and called the world, from the rising up of the sun unto the going down thereof.	THE Lord, even the most mighty God, hath spoken * and called the world, from the rising up of the sun unto the going down thereof.	50001	816
Psalm50.2	2 Out of Sion hath God appeared * in perfect beauty.	Out of Sion hath God appeared * in perfect beauty.	50002	817
Psalm50.3	3 Our God shall come, and shall not keep silence * there shall go before him a consuming fire, and a mighty tempest shall be stirred up round about him.	Our God shall come, and shall not keep silence * there shall go before him a consuming fire, and a mighty tempest shall be stirred up round about him.	50003	818
Psalm50.4	4 He shall call the heaven from above * and the earth, that he may judge his people.	He shall call the heaven from above * and the earth, that he may judge his people.	50004	819
Psalm50.5	5 Gather my saints together unto me * those that have made a covenant with me with sacrifice.	Gather my saints together unto me * those that have made a covenant with me with sacrifice.	50005	820
Psalm50.6	6 And the heavens shall declare his righteousness * for God is Judge himself.	And the heavens shall declare his righteousness * for God is Judge himself.	50006	821
Psalm50.7	7 Hear, O my people, and I will speak * I myself will testify against thee, O Israel; for I am God, even thy God.	Hear, O my people, and I will speak * I myself will testify against thee, O Israel; for I am God, even thy God.	50007	822
Psalm50.8	8 I will not reprove thee because of thy sacrifices, or for thy burnt-offerings * because they were not alway before me.	I will not reprove thee because of thy sacrifices, or for thy burnt-offerings * because they were not alway before me.	50008	823
Psalm50.9	9 I will take no bullock out of thine house * nor he-goat out of thy folds.	I will take no bullock out of thine house * nor he-goat out of thy folds.	50009	824
Psalm50.10	10 For all the beasts of the forest are mine * and so are the cattle upon a thousand hills.	For all the beasts of the forest are mine * and so are the cattle upon a thousand hills.	50010	825
Psalm50.11	11 I know all the fowls upon the mountains * and the wild beasts of the field are in my sight.	I know all the fowls upon the mountains * and the wild beasts of the field are in my sight.	50011	826
Psalm50.12	12 If I be hungry, I will not tell thee * for the whole world is mine, and all that is therein.	If I be hungry, I will not tell thee * for the whole world is mine, and all that is therein.	50012	827
Psalm50.13	13 Thinkest thou that I will eat bulls' flesh * and drink the blood of goats?	Thinkest thou that I will eat bulls' flesh * and drink the blood of goats?	50013	828
Psalm50.14	14 Offer unto God thanksgiving * and pay thy vows unto the most Highest.	Offer unto God thanksgiving * and pay thy vows unto the most Highest.	50014	829
Psalm50.15	15 And call upon me in the time of trouble * so will I hear thee, and thou shalt praise me.	And call upon me in the time of trouble * so will I hear thee, and thou shalt praise me.	50015	830
Psalm50.16	16 But unto the ungodly said God * Why dost thou preach my laws, and takest my covenant in thy mouth;	But unto the ungodly said God * Why dost thou preach my laws, and takest my covenant in thy mouth;	50016	831
Psalm50.17	17 Whereas thou hatest to be reformed * and has cast my words behind thee?	Whereas thou hatest to be reformed * and has cast my words behind thee?	50017	832
Psalm50.18	18 When thou sawest a thief, thou consentedst unto him * and hast been partaker with the adulterers.	When thou sawest a thief, thou consentedst unto him * and hast been partaker with the adulterers.	50018	833
Psalm50.19	19 Thou hast let thy mouth speak wickedness * and with thy tongue thou hast set forth deceit.	Thou hast let thy mouth speak wickedness * and with thy tongue thou hast set forth deceit.	50019	834
Psalm50.20	20 Thou satest, and spakest against thy brother * yea, and hast slandered thine own mother's son.	Thou satest, and spakest against thy brother * yea, and hast slandered thine own mother's son.	50020	835
Psalm50.21	21 These things hast thou done, and I held my tongue, and thou thoughtest wickedly, that I am even such a one as thyself * but I will reprove thee, and set before thee the things that thou hast done.	These things hast thou done, and I held my tongue, and thou thoughtest wickedly, that I am even such a one as thyself * but I will reprove thee, and set before thee the things that thou hast done.	50021	836
Psalm50.22	22 O consider this, ye that forget God * lest I pluck you away, and there be none to deliver you.	O consider this, ye that forget God * lest I pluck you away, and there be none to deliver you.	50022	837
Psalm50.23	23 Whoso offereth me thanks and praise, he honoureth me * and to him that ordereth his conversation right will I shew the salvation of God.	Whoso offereth me thanks and praise, he honoureth me * and to him that ordereth his conversation right will I shew the salvation of God.	50023	838
Psalm51.0	Psalm 51. Miserere mei, Deus.	Psalm 51. Miserere mei, Deus.	51000	839
Psalm51.1	1 HAVE mercy upon me, O God, after thy great goodness * according to the multitude of thy mercies do away mine offences.	HAVE mercy upon me, O God, after thy great goodness * according to the multitude of thy mercies do away mine offences.	51001	840
Psalm51.2	2 Wash me throughly from my wickedness * and cleanse me from my sin.	Wash me throughly from my wickedness * and cleanse me from my sin.	51002	841
Psalm51.3	3 For I acknowledge my faults * and my sin is ever before me.	For I acknowledge my faults * and my sin is ever before me.	51003	842
Psalm51.4	4 Against thee only have I sinned, and done this evil in thy sight * that thou mightest be justified in thy saying, and clear when thou art judged.	Against thee only have I sinned, and done this evil in thy sight * that thou mightest be justified in thy saying, and clear when thou art judged.	51004	843
Psalm51.5	5 Behold, I was shapen in wickedness * and in sin hath my mother conceived me.	Behold, I was shapen in wickedness * and in sin hath my mother conceived me.	51005	844
Psalm51.6	6 But lo, thou requirest truth in the inward parts * and shalt make me to understand wisdom secretly.	But lo, thou requirest truth in the inward parts * and shalt make me to understand wisdom secretly.	51006	845
Psalm51.7	7 Thou shalt purge me with hyssop, and I shall be clean * thou shalt wash me, and I shall be whiter than snow.	Thou shalt purge me with hyssop, and I shall be clean * thou shalt wash me, and I shall be whiter than snow.	51007	846
Psalm51.8	8 Thou shalt make me hear of joy and gladness * that the bones which thou hast broken may rejoice.	Thou shalt make me hear of joy and gladness * that the bones which thou hast broken may rejoice.	51008	847
Psalm51.9	9 Turn thy face from my sins * and put out all my misdeeds.	Turn thy face from my sins * and put out all my misdeeds.	51009	848
Psalm51.10	10 Make me a clean heart, O God * and renew a right spirit within me.	Make me a clean heart, O God * and renew a right spirit within me.	51010	849
Psalm51.11	11 Cast me not away from thy presence * and take not thy holy Spirit from me.	Cast me not away from thy presence * and take not thy holy Spirit from me.	51011	850
Psalm51.12	12 O give me the comfort of thy help again * and stablish me with thy free Spirit.	O give me the comfort of thy help again * and stablish me with thy free Spirit.	51012	851
Psalm51.13	13 Then shall I teach thy ways unto the wicked * and sinners shall be converted unto thee.	Then shall I teach thy ways unto the wicked * and sinners shall be converted unto thee.	51013	852
Psalm51.14	14 Deliver me from blood-guiltiness, O God, thou that art the God of my health * and my tongue shall sing of thy righteousness.	Deliver me from blood-guiltiness, O God, thou that art the God of my health * and my tongue shall sing of thy righteousness.	51014	853
Psalm51.15	15 Thou shalt open my lips, O Lord * and my mouth shall shew thy praise.	Thou shalt open my lips, O Lord * and my mouth shall shew thy praise.	51015	854
Psalm51.16	16 For thou desirest no sacrifice, else would I give it thee * but thou delightest not in burnt-offerings.	For thou desirest no sacrifice, else would I give it thee * but thou delightest not in burnt-offerings.	51016	855
Psalm51.17	17 The sacrifice of God is a troubled spirit * a broken and contrite heart, O God, shalt thou not despise.	The sacrifice of God is a troubled spirit * a broken and contrite heart, O God, shalt thou not despise.	51017	856
Psalm51.18	18 O be favourable and gracious unto Sion * build thou the walls of Jerusalem.	O be favourable and gracious unto Sion * build thou the walls of Jerusalem.	51018	857
Psalm51.19	19 Then shalt thou be pleased with the sacrifice of righteousness, with the burnt-offerings and oblations * then shall they offer young bullocks upon thine altar.	Then shalt thou be pleased with the sacrifice of righteousness, with the burnt-offerings and oblations * then shall they offer young bullocks upon thine altar.	51019	858
Psalm52.0	Psalm 52. Quid gloriaris?	Psalm 52. Quid gloriaris?	52000	859
Psalm52.1	1 WHY boastest thou thyself, thou tyrant * that thou canst do mischief;	WHY boastest thou thyself, thou tyrant * that thou canst do mischief;	52001	860
Psalm52.2	2 Whereas the goodness of God * endureth yet daily?	Whereas the goodness of God * endureth yet daily?	52002	861
Psalm52.3	3 Thy tongue imagineth wickedness * and with lies thou cuttest like a sharp rasor.	Thy tongue imagineth wickedness * and with lies thou cuttest like a sharp rasor.	52003	862
Psalm52.4	4 Thou hast loved unrighteousness more then goodness * and to talk of lies more than righteousness.	Thou hast loved unrighteousness more then goodness * and to talk of lies more than righteousness.	52004	863
Psalm52.5	5 Thou hast loved to speak all words that may do hurt * O thou false tongue.	Thou hast loved to speak all words that may do hurt * O thou false tongue.	52005	864
Psalm52.6	6 Therefore shall God destroy thee for ever * he shall take thee, and pluck thee out of thy dwelling, and root thee out of the land of the living.	Therefore shall God destroy thee for ever * he shall take thee, and pluck thee out of thy dwelling, and root thee out of the land of the living.	52006	865
Psalm52.7	7 The righteous also shall see this, and fear * and shall laugh him to scorn;	The righteous also shall see this, and fear * and shall laugh him to scorn;	52007	866
Psalm52.8	8 Lo, this is the man that took not God for his strength * but trusted unto the multitude of his riches, and strengthened himself in his wickedness.	Lo, this is the man that took not God for his strength * but trusted unto the multitude of his riches, and strengthened himself in his wickedness.	52008	867
Psalm52.9	9 As for me, I am like a green olive-tree in the house of God * my trust is in the tender mercy of God for ever and ever.	As for me, I am like a green olive-tree in the house of God * my trust is in the tender mercy of God for ever and ever.	52009	868
Psalm52.10	10 I will always give thanks unto thee for that thou hast done * and I will hope in thy Name, for thy saints like it well.	I will always give thanks unto thee for that thou hast done * and I will hope in thy Name, for thy saints like it well.	52010	869
Psalm53.0	Psalm 53. Dixit insipiens.	Psalm 53. Dixit insipiens.	53000	870
Psalm53.1	1 THE foolish body hath said in his heart * There is no God.	THE foolish body hath said in his heart * There is no God.	53001	871
Psalm53.2	2 Corrupt are they, and become abominable in their wickedness * there is none that doeth good.	Corrupt are they, and become abominable in their wickedness * there is none that doeth good.	53002	872
Psalm53.3	3 God looked down from heaven upon the children of men * to see if there were any that would understand, and seek after God.	God looked down from heaven upon the children of men * to see if there were any that would understand, and seek after God.	53003	873
Psalm53.4	4 But they are all gone out of the way, they are altogether become abominable * there is also none that doeth good, no not one.	But they are all gone out of the way, they are altogether become abominable * there is also none that doeth good, no not one.	53004	874
Psalm53.5	5 Are not they without understanding, that work wickedness * eating up my people as if they would eat bread? they have not called upon God.	Are not they without understanding, that work wickedness * eating up my people as if they would eat bread? they have not called upon God.	53005	875
Psalm53.6	6 They were afraid where no fear was * for God hath broken the bones of him that besieged thee; thou hast put them to confusion, because God hath despised them.	They were afraid where no fear was * for God hath broken the bones of him that besieged thee; thou hast put them to confusion, because God hath despised them.	53006	876
Psalm53.7	7 O that the salvation were given unto Israel out of Sion * O that the Lord would deliver his people out of captivity!	O that the salvation were given unto Israel out of Sion * O that the Lord would deliver his people out of captivity!	53007	877
Psalm53.8	8 Then should Jacob rejoice * and Israel should be right glad.	Then should Jacob rejoice * and Israel should be right glad.	53008	878
Psalm54.0	Psalm 54. Deus, in nomine.	Psalm 54. Deus, in nomine.	54000	879
Psalm54.1	1 SAVE me, O God, for thy Name's sake * and avenge me in thy strength.	SAVE me, O God, for thy Name's sake * and avenge me in thy strength.	54001	880
Psalm54.2	2 Hear my prayer, O God * and hearken unto the words of my mouth.	Hear my prayer, O God * and hearken unto the words of my mouth.	54002	881
Psalm54.3	3 For strangers are risen up against me * and tyrants, which have not God before their eyes, seek after my soul.	For strangers are risen up against me * and tyrants, which have not God before their eyes, seek after my soul.	54003	882
Psalm54.4	4 Behold, God is my helper * the Lord is with them that uphold my soul.	Behold, God is my helper * the Lord is with them that uphold my soul.	54004	883
Psalm54.5	5 He shall reward evil unto mine enemies * destroy thou them in thy truth.	He shall reward evil unto mine enemies * destroy thou them in thy truth.	54005	884
Psalm54.6	6 An offering of a free heart will I give thee, and praise thy Name, O Lord * because it is so comfortable.	An offering of a free heart will I give thee, and praise thy Name, O Lord * because it is so comfortable.	54006	885
Psalm54.7	7 For he hath delivered me out of all my trouble * and mine eye hath seen his desire upon mine enemies.	For he hath delivered me out of all my trouble * and mine eye hath seen his desire upon mine enemies.	54007	886
Psalm55.0	Psalm 55. Exaudi, Deus.	Psalm 55. Exaudi, Deus.	55000	887
Psalm55.1	1 HEAR my prayer, O God * and hide not thyself from my petition.	HEAR my prayer, O God * and hide not thyself from my petition.	55001	888
Psalm55.2	2 Take heed unto me, and hear me * how I mourn in my prayer, and am vexed.	Take heed unto me, and hear me * how I mourn in my prayer, and am vexed.	55002	889
Psalm55.3	3 The enemy crieth so, and the ungodly cometh on so fast * for they are minded to do me some mischief; so maliciously are they set against me.	The enemy crieth so, and the ungodly cometh on so fast * for they are minded to do me some mischief; so maliciously are they set against me.	55003	890
Psalm55.4	4 My heart is disquieted within me * and the fear of death is fallen upon me.	My heart is disquieted within me * and the fear of death is fallen upon me.	55004	891
Psalm55.5	5 Fearfulness and trembling are come upon me * and an horrible dread hath overwhelmed me.	Fearfulness and trembling are come upon me * and an horrible dread hath overwhelmed me.	55005	892
Psalm55.6	6 And I said, O that I had wings like a dove * for then would I flee away, and be at rest.	And I said, O that I had wings like a dove * for then would I flee away, and be at rest.	55006	893
Psalm55.7	7 Lo, then would I get me away far off * and remain in the wilderness.	Lo, then would I get me away far off * and remain in the wilderness.	55007	894
Psalm55.8	8 I would make haste to escape * because of the stormy wind and tempest.	I would make haste to escape * because of the stormy wind and tempest.	55008	895
Psalm55.9	9 Destroy their tongues, O Lord, and divide them * for I have spied unrighteousness and strife in the city.	Destroy their tongues, O Lord, and divide them * for I have spied unrighteousness and strife in the city.	55009	896
Psalm55.10	10 Day and night they go about within the walls thereof * mischief also and sorrow are in the midst of it.	Day and night they go about within the walls thereof * mischief also and sorrow are in the midst of it.	55010	897
Psalm55.11	11 Wickedness is therein * deceit and guile go not out of their streets.	Wickedness is therein * deceit and guile go not out of their streets.	55011	898
Psalm55.12	12 For it is not an open enemy, that hath done me this dishonour * for then I could have borne it.	For it is not an open enemy, that hath done me this dishonour * for then I could have borne it.	55012	899
Psalm55.13	13 Neither was it mine adversary, that did magnify himself against me * for then peradventure I would have hid myself from him.	Neither was it mine adversary, that did magnify himself against me * for then peradventure I would have hid myself from him.	55013	900
Psalm55.14	14 But it was even thou, my companion * my guide, and mine own familiar friend.	But it was even thou, my companion * my guide, and mine own familiar friend.	55014	901
Psalm55.15	15 We took sweet counsel together * and walked in the house of God as friends.	We took sweet counsel together * and walked in the house of God as friends.	55015	902
Psalm55.16	16 Let death come hastily upon them, and let them go down quick into hell * for wickedness is in their dwellings, and among them.	Let death come hastily upon them, and let them go down quick into hell * for wickedness is in their dwellings, and among them.	55016	903
Psalm55.17	17 As for me, I will call upon God * and the Lord shall save me.	As for me, I will call upon God * and the Lord shall save me.	55017	904
Psalm55.18	18 In the evening, and morning, and at noonday will I pray, and that instantly * and he shall hear my voice.	In the evening, and morning, and at noonday will I pray, and that instantly * and he shall hear my voice.	55018	905
Psalm55.19	19 It is he that hath delivered my soul in peace from the battle that was against me * for there were many with me.	It is he that hath delivered my soul in peace from the battle that was against me * for there were many with me.	55019	906
Psalm55.20	20 Yea, even God, that endureth for ever, shall hear me, and bring them down * for they will not turn, nor fear God.	Yea, even God, that endureth for ever, shall hear me, and bring them down * for they will not turn, nor fear God.	55020	907
Psalm55.21	21 He laid his hands upon such as be at peace with him * and he brake his covenant.	He laid his hands upon such as be at peace with him * and he brake his covenant.	55021	908
Psalm55.22	22 The words of his mouth were softer than butter, having war in his heart * his words were smoother than oil, and yet be they very swords.	The words of his mouth were softer than butter, having war in his heart * his words were smoother than oil, and yet be they very swords.	55022	909
Psalm55.23	23 O cast thy burden upon the Lord, and he shall nourish thee * and shall not suffer the righteous to fall for ever.	O cast thy burden upon the Lord, and he shall nourish thee * and shall not suffer the righteous to fall for ever.	55023	910
Psalm55.24	24 And as for them * thou, O God, shalt bring them into the pit of destruction.	And as for them * thou, O God, shalt bring them into the pit of destruction.	55024	911
Psalm55.25	25 The blood-thirsty and deceitful men shall not live out half their days * nevertheless, my trust shall be in thee, O Lord.	The blood-thirsty and deceitful men shall not live out half their days * nevertheless, my trust shall be in thee, O Lord.	55025	912
Psalm56.0	Psalm 56. Miserere mei, Deus.	Psalm 56. Miserere mei, Deus.	56000	913
Psalm56.1	1 BE MERCIFUL unto me, O God, for man goeth about to devour me * he is daily fighting, and troubling me.	BE MERCIFUL unto me, O God, for man goeth about to devour me * he is daily fighting, and troubling me.	56001	914
Psalm56.2	2 Mine enemies are daily in hand to swallow me up * for they be many that fight against me, O thou most Highest.	Mine enemies are daily in hand to swallow me up * for they be many that fight against me, O thou most Highest.	56002	915
Psalm56.3	3 Nevertheless, though I am sometime afraid * yet put I my trust in thee.	Nevertheless, though I am sometime afraid * yet put I my trust in thee.	56003	916
Psalm56.4	4 I will praise God, because of his word * I have put my trust in God, and will not fear what flesh can do unto me.	I will praise God, because of his word * I have put my trust in God, and will not fear what flesh can do unto me.	56004	917
Psalm56.5	5 They daily mistake my words * all that they imagine is to do me evil.	They daily mistake my words * all that they imagine is to do me evil.	56005	918
Psalm56.6	6 They hold all together, and keep themselves close * and mark my steps, when they lay wait for my soul.	They hold all together, and keep themselves close * and mark my steps, when they lay wait for my soul.	56006	919
Psalm56.7	7 Shall they escape for their wickedness * thou, O God, in thy displeasure shalt cast them down.	Shall they escape for their wickedness * thou, O God, in thy displeasure shalt cast them down.	56007	920
Psalm56.8	8 Thou tellest my flittings; put my tears into thy bottle * are not these things noted in thy book?	Thou tellest my flittings; put my tears into thy bottle * are not these things noted in thy book?	56008	921
Psalm56.9	9 Whensoever I call upon thee, then shall mine enemies be put to flight * this I know; for God is on my side.	Whensoever I call upon thee, then shall mine enemies be put to flight * this I know; for God is on my side.	56009	922
Psalm56.10	10 In God's word I will rejoice * in the Lord's word will I comfort me.	In God's word I will rejoice * in the Lord's word will I comfort me.	56010	923
Psalm56.11	11 Yea, in God have I put my trust * I will not be afraid what man can do unto me.	Yea, in God have I put my trust * I will not be afraid what man can do unto me.	56011	924
Psalm56.12	12 Unto thee, O God, will I pay my vows * unto thee will I give thanks.	Unto thee, O God, will I pay my vows * unto thee will I give thanks.	56012	925
Psalm56.13	13 For thou hast delivered my soul from death, and my feet from falling * that I may walk before God in the light of the living.	For thou hast delivered my soul from death, and my feet from falling * that I may walk before God in the light of the living.	56013	926
Psalm57.0	Psalm 57. Miserere mei, Deus.	Psalm 57. Miserere mei, Deus.	57000	927
Psalm57.1	1 BE MERCIFUL unto me, O God, be merciful unto me, for my soul trusteth in thee * and under the shadow of thy wings shall be my refuge, until this tyranny be over-past.	BE MERCIFUL unto me, O God, be merciful unto me, for my soul trusteth in thee * and under the shadow of thy wings shall be my refuge, until this tyranny be over-past.	57001	928
Psalm57.2	2 I will call unto the most high God * even unto the God that shall perform the cause which I have in hand.	I will call unto the most high God * even unto the God that shall perform the cause which I have in hand.	57002	929
Psalm57.3	3 He shall send from heaven * and save me from the reproof of him that would eat me up.	He shall send from heaven * and save me from the reproof of him that would eat me up.	57003	930
