LiturgicalProperName	INTROIT ANTIPHON	Antiphon	Verse	COLLECT OF THE DAY	GOSPEL ANTIPHON	Verse	OFFERTORY ANTIPHON	OFFERTORY COLLECT ≡ ORATIO SECRETA	PROPER PREFACE	COMMUNION ANTIPHON	Antiphon	POSTCOMMUNION COLLECT	SEQUENCE	Seq
Lent IV	Laetare. Isaiah 66.	REJOICE ye with Jerusalem: and be glad with her, all ye that love her: rejoice for joy with her, all ye that mourn for her * that ye may suck, and be satisfied with the breast of her consolations.	Psalm 122. I was glad when the said unto me * We will go into the house of the Lord. ✠Glory be &c	GRANT, we beseech thee, almighty God: that we, who for our evil deeds do worthily deserve to be punished; by the comfort of thy grace may mercifully be relieved; through our Lord and Saviour Jesus Christ, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm 122.	Praise to Thee, O Christ, King of Eternal glory. I was glad when they said unto me * We will go into the house of the Lord. Peace be within thy walls, and plenteousness within thy palaces.	Psalm 135. O praise the Lord, for the Lord is gracious: O sing praises unto his Name, for it is lovely * whatsoever the Lord pleased, that did he in heaven and in earth.	WE beseech thee, O Lord, mercifully to have respect unto these our oblations: that the same may be profitable unto us for our increase in all godliness, and for the attainment of everlasting salvation.  Through &c		Psalm 122.	Jerusalem is built as a city that is at unity with itself * for thither the tribes go up, even the tribes of the Lord, to give thanks unto the Name of the Lord.	O LORD, who sufferest us to be partakers of thy wondrous mysteries: grant, we beseech thee; that by thy mercy we may be absolved from all our iniquities, and defended against all adversities. Through &c.		25
Passion Sunday	Judica me. Psalm  43.	GIVE sentence with me, O God, and defend my cause against the ungodly people: O deliver my soul from the deceitful and wicked man * for thou art the God of my strength.	Psalm Ibid. O send out thy light and thy truth, that they may lead me * and bring me unto thy holy hill, and to thy dwelling. ✠Glory be &c	WE BESEECH thee, almighty God, mercifully to look upon thy people: that by thy great goodness they may be governed and preserved evermore, both in body and soul; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm l43.	Praise to Thee, O Christ, King of Eternal glory. Deliver me, O Lord, from mine enemies: teach me to do the thing that pleaseth thee. It is the Lord that delivereth me from my cruel enemies, and setteth me up above mine adversaries * thou shalt rid me from the wicked man.	Psalm 119. I will give thanks unto the Lord with my whole heart O do well unto thy servant, that I may live, and keep thy word * quicken thou me, according to thy word, O Lord.	Grant, O Lord, we pray thee, that these our oblations may deliver us from every bond of iniquity, and obtain for us the bounteous gifts of thy mercy. Through.		1 Corinthians 11.	This is my Body, which is given for you: this cup is the new testament in my Blood, saith the Lord * this do ye, as oft as ye drink it, in remembrance of me.	ASSIST us mercifully, O Lord our God: that we whom thou hast here refreshed with thy holy mysteries, may be defended by thy perpetual succour. Through &c.		26
Palm Sunday	Domine, ne longe. Psalm  22.	BE NOT thou far from me, O Lord, thou art my succour, haste thee to help me * save me from the lion's mouth, thou hast heard me also from among the horns of the unicorns.	Psalm ibid. My God, my God, look upon me: why hast thou forsaken me * and art so far from my health, and from the words of my complaint? Be not thou. ✠Glory be &c	ALMIGHTY and everlasting God, who, of thy tender love towards mankind, hast sent thy Son our Saviour Jesus Christ, to take upon him our flesh, and to suffer death upon the Cross, that all mankind should follow the example of his great humility: mercifully grant; that we may follow the example of his patience, and so be made partakers of his Resurrection; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm 73.	Praise to Thee, O Christ, King of Eternal glory. Thou hast holden me by my right hand: thou shalt guide me with thy counsel: and after that receive me with glory. Truly God is loving unto Israel, even unto such as are of a clean heart: nevertheless, my feet were almost gone: my treadings had well-nigh slipt: and why? I was grieved at the wicked, I do also see the ungodly in such prosperity.	Psalm 69. Thy rebuke hath broken my heart, I am full of heaviness: I looked for some to have pity on me, but there was no man: neither found I any to comfort me * they gave me gall to eat, and when I was thirsty they gave me vinegar to drink.	Grant, we beseech thee, Almighty God: that these gifts which we offer in the sight of thy divine majesty, may obtain for us grace to serve thee in this life with all godliness, and bring us in the end to everlasting felicity. Through.		St Matthew 26.	O my Father, if this cup may not pass away from me, except I drink it * thy will be done.	GRANT, O Lord, that by the operation of these thy mysteries, we may be cleansed from all our sins: and obtain that which we have asked according to thy will. Through &c.		27
Easter Sunday	Resurrexi. Psalm  139.	I AM risen, and am present with thee, alleluia * thou hast laid thine hand upon me, alleluia; such knowledge is too wonderful and excellent for me, alleluia, alleluia.	Psalm ibid. O Lord, thou hast searched me out and known me * thou knowest my down sitting and mine uprising. ✠Glory be &c	ALMIGHTY God, who through thine Only Begotten Son Jesus Christ hast overcome death, and opened unto us the gate of everlasting life: we humbly beseech thee; that as by thy special grace thou dost put into our minds good desires, so by thy continual help we may bring the same to good effect; through the same Jesus Christ thy Son, our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	1 Corinthians 5.	Alleluia, alleluia. Christ our Passover is sacrificed for us.	Psalm 76. The earth trembled and was still, when God arose to judgement, alleluia.	WE BESEECH thee, O Lord, mercifully to accept the prayers and oblations of thy people: that this beginning of thy Paschal Mysteries may by the operation of thy grace be unto us a wholesome medicine unto everlasting life. Through.		1 Corinthians 5.	Christ our Passover is sacrificed for us, alleluia * therefore let us keep the feast with the unleavened bread of sincerity and truth, alleluia, alleluia, alleluia.	WE BESEECH thee, O Lord, put into our hearts the love of thy Holy Spirit: that as thou hast now fulfilled us with this Paschal Sacrament, so thou wouldest make us to continue in all godly concord. Through &c	SEQUENCE. Victimae Paschali. Christians to the Paschal Victim offer your thankful praises. The Lamb the sheep redeemeth: Christ by sin undefiled, reconcileth sinners to the Father. Death and life joined together in that conflict stupendous : the King of Life who died deathless reigneth. Declare to us, Mary, the vision of thy journey. "I saw the Tomb of Christ living: and likewise the glory of the Risen: Bright Angels attesting, the shroud and napkin resting. Yea, Christ my hope is arisen : to Galilee he now goes before you." Christ indeed from death is risen, so we know most surely: O King and Conqueror, grant to us mercy, Amen. Alleluia.	29
Easter II	Quasi modo. 1 St Peter 2.	AS newborn babes, alleluia * desire the sincere milk of the word, alleluia, alleluia, alleluia.	Psalm 81. Sing we merrily unto God our strength * make a cheerful noise unto the God of Jacob. ✠Glory be &c	ALMIGHTY Father, who hast given thine only Son to die for our sins, and to rise again for our justification: grant us so to put away the leaven of malice and wickedness; that we may always serve thee in pureness of living and truth; through the merits of the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	St John 20.	Alleluia. After eight days, the door being shut, Jesus stood in the midst of his disciples and said * Peace be unto you. Alleluia.	St Matthew 28. The Angel of the Lord descended from heaven, and said unto the women * He whom ye seek is risen, as he said. Alleluia.	WE beseech thee, O Lord, mercifully to accept the prayers and oblations ACCEPT, O Lord, we pray thee, the gifts which in her gladness the Church doth offer unto thee: that they on whom thou hast bestowed the cause of so great a gladness may thereby be profited unto everlasting felicity.  Through &c		St John 20.	Reach hither thy hand, and behold the print of the nails, alleluia * and be not faithless but believing, alleluia, alleluia.	GRANT, we beseech thee, O Lord our God: that these holy mysteries which thou hast given unto us for the assurance of our salvation, may both in this life and that which is to come be profitable unto us for the healing of our souls. Through &c.		30
Easter III	Jubilate Deo. Psalm  66.	O BE joyful in God, all ye lands, alleluia: sing praises unto the honour of his Name, alleluia * make his praise to be glorious, alleluia, alleluia, alleluia.	Psalm ibid. Say unto God, O how wonderful art thou in thy works, O Lord * through the greatness of thy power shall thine enemies be found liars unto thee. ✠Glory be &c	ALMIGHTY God, who hast given thine only Son to be unto us both a sacrifice for sin, and also an example of godly life: give us grace that we may always most thankfully receive his inestimable benefit; and also daily endeavour ourselves to follow the blessed steps of his most holy life; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	St Luke 24.	Alleluia. Ought not Christ to have suffered these things: and to enter into his glory? Alleluia.	Psalm 146. Praise the Lord, O my soul: while I live will I praise the Lord * yea, as long as I have any being, I will sing praises unto my God, alleluia.	O LORD, we pray thee, that from these mysteries we may obtain such succour of thy grace, that refraining ourselves from the desire of all things earthly, we may learn to love all such things as are heavenly.  Through &c		St John 16.	A little while, and ye shall not see me, alleluia * and again a little while, and you shall see me, because I go to the Father, alleluia, alleluia.	O LORD our God, who hast made us partakers of this holy Sacrament: grant, we beseech thee; that we may be thereby inwardly satisfied with heavenly food, and outwardly defended against all adversities. Through &c.		32
Easter IV	Cantate Domino. Psalm  98.	O SING unto the Lord a new song, alleluia: for the Lord hath done marvellous things, alleluia * his righteousness hath he openly shewed in the sight of the heathen, alleluia, alleluia, alleluia.	Psalm ibid. With his own right hand and with his holy arm * hath he gotten himself the victory. ✠Glory be &c	ALMIGHTY God, who showest to them that be in error the light of thy truth, to the intent that they may return into the way of righteousness: grant unto all them that are admitted into the fellowship of Christ’s religion; that they may forsake those things that are contrary to their profession, and follow all such things as are agreeable to the same; through the same Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Romans 6.	Alleluia. Christ being raised from the dead dieth no more * death hath no more dominion over him. Alleluia.	Psalm 66. O be joyful in God, all ye lands, sing praises unto the honour of his Name * O come hither, and hearken, all ye that fear God, and I will tell you what the Lord hath done for my soul. Alleluia.	O GOD, who by the wondrous operation of this sacrifice, hast made us partakers of thy glorious Godhead: grant, we beseech thee, that we which are taught the knowledge of thy truth, may in all our conversation walk worthily of the same.  Through &c		St John 16.	When the Comforter, the Spirit of Truth, is come * he will reprove the world of sin, and of righteousness, and of judgement, alleluia, alleluia.	ASSIST us mercifully, O Lord our God: that we, which have in faithfulness received this holy Sacrament, may thereby be cleansed from all our iniquities, and delivered from all dangers that beset us. Through &c __________________________________________________________________		33
Easter V	Vocem jucunditatis. Isaiah 48.	WITH a voice of singing declare ye, tell this, alleluia: utter it even to the end of the earth * say ye, the Lord hath redeemed his people, alleluia, alleluia.	Psalm 66. O be joyful in God, all ye lands, sing praises unto the honour of his Name * make his praise to be glorious. ✠Glory be &c	O ALMIGHTY God, who alone makest the minds of the faithful to be of one will: grant unto thy people, that they may love the thing which thou commandest, and desire that which thou dost promise; that so, among the sundry and manifold changes of the world, our hearts may surely there be fixed, where true joys are to be found; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	St John 16.	Alleluia. I came forth from the Father, and am come into the world * again, I leave the world, and go to the Father. Alleluia.	Psalm 66. O PRAISE our God, ye people, and make the voice of his praise to be heard: who holdeth our soul in life, and suffereth not our feet to slip * praised be God, who hath not cast out my prayer, nor turned his mercy from me, alleluia.	WE BESEECH thee, O Lord, to accept the prayers and oblations of thy faithful people: that through this observance of our bounden devotion we may attain to the glory of thy heavenly kingdom.  Through &c		Psalm 96.	O SING unto the Lord, alleluia * sing unto the Lord, and praise his Name, be telling of his salvation from day to day. alleluia, alleluia.	GRANT, we beseech thee, O Lord: that we, whom thou hast fulfilled with the bounty of thy heavenly banquet, may evermore desire those things that are according to thy will, and effectually obtain all things that we desire. Through &c		34
Easter VI	Vocem jucunditatis. Isaiah 48:20.	WITH a voice of singing declare ye, tell this, alleluia * utter it even to the end of the earth; say ye, the Lord hath redeemed his people, alleluia, alleluia.	Psalm 66. O be joyful in God, all ye lands, sing praises unto the honour of his Name * make his praise to be glorious.  ✠Glory be &c	O LORD, from whom all good things do come: grant to us thy humble servants; that by thy holy inspiration we may think those things that be good, and by thy merciful guiding may perform the same; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	St John 16.	Alleluia, alleluia. I came forth from the Father, and am come into the world * again, I leave the world, and go to the Father. Alleluia, alleluia.	Psalm 65. O bless the Lord our God, ye peoples, and make the voice of His praise to be heard * who hath set my soul to live, and hath not suffered my feet to be moved. Blessed be the Lord, who hath not turned away my prayer, nor His mercy from me, alleluia. 	WE BESEECH thee, O Lord, to accept the prayers and oblations of thy faithful people: that through this observance of our bounden devotion we may attain to the glory of thy heavenly kingdom. Through &c		Psalm 96.	O SING unto the Lord, alleluia * sing unto the Lord, and praise his Name, be telling of his salvation from day to day. alleluia, alleluia.	Grant to us, O Lord, who are filled with strength from this heavenly Table, that we may both desire what is right, and obtain what we desire. Through our Lord Jesus Christ, Thy Son: Who with Thee liveth and reigneth in the unity of the Holy Ghost, God, world without end. Amen.		35
Ascension of our Lord	Viri Galilaei. Acts 1.	YE MEN of Galilee, why stand ye gazing up into heaven? Alleluia  * in like manner as ye have seen him going up into heaven, so shall he come again. Alleluia, alleluia, alleluia.	Psalm 47. O clap your hands together, all ye people  * O sing unto God with the voice of melody. ✠Glory be &c	Collect not found	St Matthew 28.	Alleluia. Go therefore and make disciples of all nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit, teaching them to observe all that I have commanded you; and lo, I am with you always, to the close of the age.” Alleluia, alleluia.	Psalm 47. God is gone up with a merry noise  * and the Lord with the sound of the trump, alleluia.	ACCEPT. O Lord, we pray thee, the oblations which, in remembrance of the glorious Ascension of thy Son, we do offer unto thee : and mercifully grant that we, being delivered from all perils in this life ;present, may attain in the end unto life everlasting. Through the same.		Psalm 68.	Sing ye to the Lord, who ascended to the heaven of heavens, to the sunrising, alleluia.	GRANT, we beseech thee, Almighty and merciful God : that we which have outwardly received these holy mysteries, may inwardly be made partakers of the benefit of the same. Through &c.		36
Sunday after Ascension	Exaudi, Domine. Psalm  27.	HEARKEN unto my voice, O Lord, when I cry unto thee, alleluia: my heart hath talked of thee, Seek ye my face; thy face, Lord will I seek * O hide not thou thy face from me, alleluia, alleluia.	Psalm ibid. The Lord is my light and my salvation * whom then shall I fear? ✠Glory be &c	O GOD, the King of Glory, who hast exalted thine only Son Jesus Christ with great triumph unto thy kingdom in heaven: we beseech thee, leave us not comfortless; but send to us thy Holy Spirit to comfort us, and exalt us unto the same place whither our Saviour Christ is gone before; who liveth and reigneth with thee, in the unity of the same Holy Spirit, ever one God, world without end. * Amen.	St John 14.	Alleluia, alleluia. I will not leave you comfortless * I go away and come again unto you, and your heart shall rejoice. Alleluia.	Psalm 47. GOD is gone up with a merry noise * and the Lord with the sound of the trump, alleluia.	GRANT, O Lord, that this spotless sacrifice may cleanse us from all our sins: and shed forth within our souls the strength of thy heavenly grace.  Through &c		St John 17.	FATHER, while I was with them in the world, I kept those that thou gavest me, alleluia: and now I come to thee * I pray not that thou shouldest take them out of the world, but that thou shouldest keep them from the evil, alleluia, alleluia.	O LORD, who hast vouchsafed to satisfy us with the sacred gifts of thy bounty: grant, we beseech thee, that we may ever continue to render thanks unto thee for the same. Through &c		37
Whitsunday	Spiritus Domini. Wisdom 1.	THE Spirit of the Lord hath filled the whole world, alleluia  * and that which containeth all things hath knowledge of the voice, alleluia, alleluia, alleluia.	Psalm 68. Let God arise, and let his enemies be scattered  * let them also that hate him flee before him. ✠Glory be &c	O GOD, who as at this time didst teach the hearts of thy faithful people, by sending to them the light of thy Holy Spirit: grant us by the same Spirit to have a right judgment in all things; and evermore to rejoice in his holy comfort; through the merits of Christ Jesus thy Son our Lord, who liveth and reigneth with thee, in the unity of the same Holy Spirit, ever one God, world without end. * Amen.		Alleluia, alleluia. (Here genuflect.) Come, Holy Ghost, and fill the hearts of thy faithful people  * and kindle in them the fire of thy love. Alleluia.	Psalm 68. Stablish the thing, O God, that thou hast wrought in us  * for thy temple's sake at Jerusalem, shall kings bring presents unto thee, alleluia.	SANCTIFY, 0 Lord, we beseech thee, these our oblations : that being enlightened by the beams of thy Holy Spirit, our hearts may be purified from all evil. Through.		Acts 2.	Suddenly there came a sound from heaven as of a rushing mighty wind, and it filled all the house where they were sitting, alleluia  * and they were all filled with the Holy Ghost, and began to speak the wonderful works of God, alleluia, alleluia.	WE humbly beseech thee, O Lord, that thou wouldest send down upon our hearts the healthful Spirit of thy grace : and, that we may bring forth fruit unto thee, pour upon us the inward dew of his blessing. Through &c.	SEQUENCE. COME, thou Holy Spirit, come ; and from thy celestial home send thy light and brilliancy. Come, thou father of the poor, come who givest all our store, come the soul's true radiancy. Come, of comf orters the best, of the soul the sweetest guest, sweetly and refreshingly. Come, in labour rest most sweet, shade and coolness in the heat, comfort in adversity. Thou who art the Light most blest, come fulf il their inmost breast, who believe most faithfully. For without thy Godhead's dower, man hath nothing in his power, save to work iniquity. What is filthy make thou pure, what is wounded work its cure, wate r what is parched and dry. Gently bend the stubborn will, warm to life the heart that's chill, guide who goeth erringly. Fill thy faithful who adore, and confess thee ever more, with thy sevenfold mystery. Here thy grace and virtue send, grant salvation in the end, and in heaven felicity. Amen. Alleluia.	38
Most Holy Trinity	Benedicta sit. Tobit 12.	BLESSED be the holy Trinity, and the undivided Unity * we will confess him, because he hath shewed his mercy upon us.	Psalm 8. O Lord our Governour: how excellent is thy Name in all the world. ✠Glory be &c	ALMIGHTY and everlasting God, who hast given unto us thy servants grace, by the confession of a true faith, to acknowledge the glory of the eternal Trinity, and in the power of the Divine Majesty to worship the Unity: we beseech thee; that this holy faith may evermore be our defence against all adversities; who livest and reignest, ever one God, world without end. * Amen.	Daniel 3.	Alleluia, alleluia. Blessed art thou, O Lord God of our fathers * and to be praised and exalted above all for ever. Alleluia.	Tobit 12. Blessed be God the Father, and the only-begotten Son of God, and likewise the Holy Spirit * for he hath shewed his mercy upon us.	O LORD GOD ALMIGHTY, we humbly beseech thee, that by the power of thy holy Name, thou wouldest vouchsafe to sanctify this oblation of our sacrifice: that we may thereby be enabled evermore to present ourselves unto thee to be an oblation acceptable in thy sight.		Tobit 12.	We bless the God of heaven, and extol him before all the living * for he hath shewed his mercy upon us.	O ETERNAL LORD GOD, who hast given unto us to acknowledge the holy and eternal Trinity to be likewise one undivided Unity: mercifully grant, that we, who have now received thy holy sacraments, may thereby be defended from all adversities which may happen to the body and from all evil thoughts which may assault and hurt the soul.		39
Corpus Christi	Cibavit eos. Psalm 81.	HE FED them also with the finest wheat flour * and with honey from the rock hath he satisfied them.	Psalm ibid. Sing we merrily unto God our helper * make a cheerful noise unto the God of Jacob. ✠Glory be &c	O GOD, who in a wonderful Sacrament hast left unto us a memorial of thy Passion: grant us, we beseech thee, so to venerate the sacred mysteries of thy Body and Blood; that we may ever know within ourselves the fruit of thy redemption; who livest and reignest with the Father, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	John 6.	Alleluia, alleluia. My Flesh is meat indeed, and my Blood is drink indeed * he that eateth my Flesh and drinketh my Blood, dwelleth in me, and I in him. Alleluia.	Leviticus 21. The priests of the Lord do offer the offerings of the Lord made by fire and the Bread of their God * therefore they shall be holy unto their God, and not profane the Name of their God.	WE BESEECH thee, O Lord, that like as we in these our oblations do shew forth in a mystery the unity and concord of thy Church: so thou wouldest ever mercifully bestow upon her these thy blessings. Through.		I Corinthians 11.	As often as ye do eat of this Bread, and drink of this Cup, ye do shew the Lord's death till he come * wherefore, whosoever shall eat of this Bread, and drink of this Cup of the Lord, unworthily, shall be guilty of the Body and Blood of the Lord. Alleluia.	GRANT, we beseech thee, O Lord: that we who in these outward tokens have been made partakers of thy most precious Body and Blood; may after this life be replenished with the fruition of thy glorious Godhead. Who livest and reignest with the Father.	Lauda Sion Salvatorem.  Laud, O Sion, thy Salvation, Laud with hymns of exaltation Christ, thy King and Shepherd true:  Spend thyself, his honour raising, Who surpasseth all thy praising; Never canst thou reach his due.  Sing to-day, the mystery shewing Of the living, life-bestowing Bread from heaven before thee set;  E'en the same of old provided, Where the Twelve, divinely guided, At the holy Table met.  Full and clear ring out thy chanting, Joy nor sweetest grace be wanting To thy heart and soul today;  When we gather up the measure Of that Supper and its treasure, Keeping feast in glad array.  Lo, the new King's Table gracing, This new Passover of blessing Hath fulfilled the elder rite:  Now the new the old effaceth, Truth revealed the shadow chaseth, Day is breaking on the night.  What he did at Supper seated, Christ ordained to be repeated His memorial ne'er to cease:  And, His word for guidance taking, Bread and wine we hallow, making Thus our sacrifice of peace.  This the truth to Christians given - Bread becomes His Flesh from heaven, Wine becomes His Holy Blood.  Doth it pass thy comprehending? Yet by faith, thy sight transcending, Wondrous things are understood.  Yea, beneath these signs are hidden Glorious things to sight forbidden: Look not on the outward sign.  Wine is poured and Bread is broken, But in either sacred token Christ is here by power divine.  Whoso of this Food partaketh, Rendeth not the Lord nor breaketh: Christ is whole to all that taste.  Thousands are, as one, receivers; One as thousands of believers, Takes the Food that cannot waste.  Good and evil men are sharing One repast, a doom preparing Varied as the heart of man;  Doom of life or death awarded, As their days shall be recorded Which from one beginning ran.  When the Sacrament is broken, Doubt not in each severed token, Hallowed by the word once spoken, Resteth all the true content:  Nought the precious Gift divideth, Breaking but the sign betideth, He himself the same abideth, Nothing of His fulness spent.  Lo! the Angel's Food is given To the pilgrim who hath striven; See the children's Bread from heaven, Which to dogs may not be cast;  Truth the ancient types fulfilling; Isaac bound, a victim willing; Paschal lamb, its life-blood spilling; Manna sent in ages past.  O true Bread, good Shepherd, tend us, Jesu of thy love befriend us, Thou refresh us, thou defend us, Thine eternal goodness send us In the land of life to see;  Thou who all things canst and knowest, Who on earth such Food bestowest, Grant us with thy Saints though lowest, Where the heavenly Feast thou shewest, Fellow-heirs and guests to be.  Amen. Alleluia. 	38
Trinity I	Domine, in tua misericordia. Psalm  13.	O LORD, my trust in thy mercy: and my heart is joyful in thy salvation * I will sing of the Lord, because he hath dealt so lovingly with me.	Psalm ibid. How long wilt thou forget me, O Lord, for ever? How long wilt thou hide thy face from me? ✠Glory be &c	O GOD, the strength of all them that put their trust in thee: mercifully accept our prayers; and because through the weakness of our mortal nature we can do no good thing without thee, grant us the help of thy grace, that in keeping thy commandments we may please thee both in will and deed; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm 5.	Alleluia, alleluia. Ponder my words, O Lord * consider my meditation. Alleluia.	Psalm 5. O hearken thou unto the voice of my calling, my King and my God * for unto thee, O Lord, will I make my prayer.	WE BESEECH thee, O Lord, graciously to accept this our sacrifice which we offer unto thee: that the same may effectually avail for our succour unto everlasting life. Through.		Psalm 9.	I will speak of all thy marvellous works: I will be glad and rejoice in thee * yea, my songs will I make of thy Name, O thou Most Highest.	O LORD, who hast vouchsafed to fulfil us with thy wondrous bounty: grant, we beseech thee, that we receiving these gifts of our redemption may never cease from shewing forth thy praises. Through &c.		39
Trinity II	Factus est Dominus. Psalm  18.	THE LORD was my upholder, he brought me forth also into a place of liberty * he brought me forth, even because he had a favour unto me.	Psalm Ibid. I will love thee, O Lord, my strength * the Lord is my stony rock, my defence, and my Saviour. ✠Glory be &c	O LORD, who never failest to help and govern them whom thou dost bring up in thy steadfast fear and love: keep us, we beseech thee, under the protection of thy good providence; and make us to have a perpetual fear and love of thy holy Name; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm 7.	Alleluia, alleluia. O Lord my God, in thee have I put my trust * save me from all them that persecute me, and deliver me. Alleluia.	Psalm 6. Turn thee, O Lord, and deliver my soul * O save me for thy mercy's sake.	GRANT, O Lord, that the oblation which we consecrate unto thy Name may cleanse us from all our sins: and daily renew us to the attainment of heavenly life.  Through &c		Psalm 13.	I will sing of the Lord, because he hath dealt so lovingly with me * yea, I will praise the Name of the Lord Most Highest.	O LORD, who hast here vouchsafed unto us to be partakers of thy bounty: grant, we beseech thee, that we may so continue to draw near unto the same, that, growing more and more in grace, we may attain in the end to everlasting life. Through &c.		40
Trinity III	Respice in me. Psalm  25.	TURN thee unto me, and have mercy upon me, O Lord : for I am desolate, and in misery: look upon my adversity and misery * and forgive me all my sin, O my God.	Psalm ibid. Unto thee, O Lord, will I lift up my soul * my God, I have put my trust in thee, O let me not be confounded. ✠Glory be &c	O LORD, we beseech thee mercifully to hear us: and grant that we, to whom thou hast given an hearty desire to pray; may, by thy mighty aid, be defended and comforted in all dangers and adversities; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end.  * Amen.	Psalm 7.	Alleluia, alleluia. God is a righteous judge, strong and patient * and God is provoked every day. Alleluia.	Psalm 9. They that know thy Name will put their trust in thee: for thou, Lord, hast never failed them that seek thee: O Praise the Lord, which dwelleth in Sion * for he forgetteth not the complain of the poor.	SANCTIFY, O Lord, we beseech thee, the oblations which we offer unto thee: and mercifully grant that they may be made unto us the Body and Blood of thine only begotten Son. Who liveth and reigneth with thee.		St Luke 15.	I say unto you * There is joy in the presence of the Angels of God over one sinner that repenteth.	WE BESEECH thee, O Lord, that we which have received these holy mysteries: may be their power be cleansed from all our iniquities; and evermore be filled with the bounteous gifts of thy grace. Through &c.		41
Trinity IV	Dominus illuminatio mea. Psalm  27.	THE LORD is my light, and my salvation, whom then shall I fear? The LORD is the strength of my life, of whom then shall I be afraid? When mine enemies came upon me, they stumbled and fell.	Psalm ibid. Though an host of men were laid against me * yet shall not my heart be afraid. ✠Glory be &c	O GOD, the protector of all that trust in thee, without whom nothing is strong, nothing is holy: increase and multiply upon us thy mercy; that, thou being our ruler and guide, we may so pass through things temporal, that we finally lose not the things eternal: grant this, O heavenly Father, for the sake of Jesus Christ our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm 9.	Alleluia, alleluia. Thou O God, are set in the throne that judgest right * be thou the refuge of the opprest in due time of trouble. Alleluia.	Psalm 13. Lighten mine eyes, that I sleep not in death : lest mine enemy say * I have prevailed against him.	REGARD, O Lord, we pray thee, the prayers and oblations of thy Church: and grant that they may ever be profitable for the salvation and sanctification of us thy faithful people, through &c		Psalm 18.	The Lord is my stony rock, and my defence * my Saviour, my god, and my might.	WE PRAY thee, O Lord, that we being quickened by these mysteries which we have received: may thereby be cleansed from all our sins; and made ready for the obtaining of thy everlasting mercy. Through &c.		42
Trinity V	Exaudi, Domine. Psalm  27.	HEARKEN unto my voice, O Lord, when I cry unto thee * thou hast been my succour, leave me not, neither forsake me, O God of my salvation.	Psalm ibid. The Lord is my light, and my salvation * whom then shall I fear? ✠Glory be &c	GRANT, O Lord, we beseech thee: that the course of this world may be so peaceably ordered by thy governance; that thy Church may joyfully serve thee in all godly quietness; through Jesus Christ thy Son our Lord, who liveth and reigneth with thee, in the unity of the Holy Spirit, ever one God, world without end. * Amen.	Psalm 20.	Alleluia, alleluia. The king shall rejoice in thy strength, O Lord * exceeding glad shall he be of thy salvation. Alleluia.	Psalm 16. I will thank the Lord for giving me warning: I have set God always before me * for he is on my right hand, therefore I shall not fall.	MOST merciful Lord, we beseech thee, to have respect unto these our oblations : that whereas we have rebelled and done evil against thee, we may by thy grace be conformed unto thy will, through &c		Psalm 27.	One thing have I desired of the Lord, which I will require * even that I may dwell in the house of the Lord all the days of my life.	WE BESEECH thee, O Lord, that the mysteries which we have received: may cleanse us from all our sins; and defend us by thy gifts bestowed therein from all adversities. Through &c.		43
