ValidationDropDownList	Hymnal	HymnNumber	PD	FirstLine	Tune	Metre	Occasion	EHNote	EHNote2
C631 See us, Lord, about thine altar	CH:Celebration Hymnal for Everyone	631		See us, Lord, about thine altar					
C632 Seed, scattered and sown	CH:Celebration Hymnal for Everyone	632		Seed, scattered and sown					
C633 Seek ye first the Kingdom of God	CH:Celebration Hymnal for Everyone	633	*	Seek ye first the Kingdom of God					
C634 Send forth your Spirit, God our Father	CH:Celebration Hymnal for Everyone	634		Send forth your Spirit, God our Father					
C635 Send forth your Spirit, O Lord	CH:Celebration Hymnal for Everyone	635		Send forth your Spirit, O Lord					
C636 Send me, Jesus	CH:Celebration Hymnal for Everyone	636		Send me, Jesus					
C636 Thuma mina	CH:Celebration Hymnal for Everyone	636		Thuma mina					
C637 Send us as your blessing, Lord	CH:Celebration Hymnal for Everyone	637		Send us as your blessing, Lord					
C638 Sent by the Lord	CH:Celebration Hymnal for Everyone	638		Sent by the Lord					
C639 Shalom, my friend	CH:Celebration Hymnal for Everyone	639		Shalom, my friend					
C64 Awake, awake: fling off the night	CH:Celebration Hymnal for Everyone	64		Awake, awake: fling off the night					
C640 Enemy of Apathy	CH:Celebration Hymnal for Everyone	640		Enemy of Apathy					
C640 She sits like a bird	CH:Celebration Hymnal for Everyone	640		She sits like a bird					
C641 Shepherd of souls, in love come feed us	CH:Celebration Hymnal for Everyone	641		Shepherd of souls, in love come feed us					
C642 Show me your ways	CH:Celebration Hymnal for Everyone	642		Show me your ways					
C643 Silent night	CH:Celebration Hymnal for Everyone	643	*	Silent night					
C644 Sing a new song unto the Lord	CH:Celebration Hymnal for Everyone	644		Sing a new song unto the Lord					
C645 Sing a new song to the Lord	CH:Celebration Hymnal for Everyone	645		Sing a new song to the Lord					
C646 Sing, all creation, sing to God in gladness!	CH:Celebration Hymnal for Everyone	646		Sing, all creation, sing to God in gladness!					
C647 Sing alleluia to the Lord	CH:Celebration Hymnal for Everyone	647		Sing alleluia to the Lord					
C648 Sing it in the valleys	CH:Celebration Hymnal for Everyone	648		Sing it in the valleys					
C649 Sing, my soul	CH:Celebration Hymnal for Everyone	649	*	Sing, my soul					
C65 Awake from your slumber (City of God)	CH:Celebration Hymnal for Everyone	65		Awake from your slumber (City of God)					
C650 Sing, my tongue, the glorious battle	CH:Celebration Hymnal for Everyone	650	*	Sing, my tongue, the glorious battle					
C651 Sing of Christ, proclaim his glory	CH:Celebration Hymnal for Everyone	651	*	Sing of Christ, proclaim his glory					
C652 Sing of Mary, pure and lowly	CH:Celebration Hymnal for Everyone	652		Sing of Mary, pure and lowly					
C653 Sing of the bride	CH:Celebration Hymnal for Everyone	653		Sing of the bride					
C654 Sing of the Lord’s goodness	CH:Celebration Hymnal for Everyone	654		Sing of the Lord’s goodness					
C655 Sing praises to the living God	CH:Celebration Hymnal for Everyone	655		Sing praises to the living God					
C656 Sing to the Bride	CH:Celebration Hymnal for Everyone	656		Sing to the Bride					
C657 Sing to the mountains	CH:Celebration Hymnal for Everyone	657		Sing to the mountains					
C658 Sing to the world of Christ	CH:Celebration Hymnal for Everyone	658		Sing to the world of Christ					
C659 Sing we of the blessèd mother	CH:Celebration Hymnal for Everyone	659		Sing we of the blessèd mother					
C66 Away in a manger	CH:Celebration Hymnal for Everyone	66	*	Away in a manger					
C660 Sleep, holy babe	CH:Celebration Hymnal for Everyone	660	*	Sleep, holy babe					
C661 Songs of thankfulness and praise	CH:Celebration Hymnal for Everyone	661	*	Songs of thankfulness and praise					
C662 Sons of God, hear his holy Word	CH:Celebration Hymnal for Everyone	662		Sons of God, hear his holy Word					
C663 Soul of my Saviour	CH:Celebration Hymnal for Everyone	663	*	Soul of my Saviour					
C664 Spirit of God, in the clear running water	CH:Celebration Hymnal for Everyone	664		Spirit of God, in the clear running water					
C665 Spirit of God within me	CH:Celebration Hymnal for Everyone	665		Spirit of God within me					
C666 Spirit of the living God	CH:Celebration Hymnal for Everyone	666		Spirit of the living God					
C667 Stand and stare not	CH:Celebration Hymnal for Everyone	667		Stand and stare not					
C668 Star of ocean, lead us	CH:Celebration Hymnal for Everyone	668		Star of ocean, lead us					
C669 Steal away to Jesus	CH:Celebration Hymnal for Everyone	669	*	Steal away to Jesus					
C67 Baptised in water, sealed by the Spirit	CH:Celebration Hymnal for Everyone	67		Baptised in water, sealed by the Spirit					
C670 Suffer little children	CH:Celebration Hymnal for Everyone	670		Suffer little children					
C671 Sing a new church	CH:Celebration Hymnal for Everyone	671		Sing a new church					
C671 Summoned by the God who made us	CH:Celebration Hymnal for Everyone	671		Summoned by the God who made us					
C672 Surrexit Christus	CH:Celebration Hymnal for Everyone	672		Surrexit Christus					
C673 Sweet heart of Jesus	CH:Celebration Hymnal for Everyone	673	*	Sweet heart of Jesus					
C674 Sweet sacrament divine	CH:Celebration Hymnal for Everyone	674	*	Sweet sacrament divine					
C675 Sweet Saviour, bless us ere we go	CH:Celebration Hymnal for Everyone	675	*	Sweet Saviour, bless us ere we go					
C676 Take my hands	CH:Celebration Hymnal for Everyone	676		Take my hands					
C677 Take my life	CH:Celebration Hymnal for Everyone	677	*	Take my life					
C678 Take our bread, we ask you	CH:Celebration Hymnal for Everyone	678		Take our bread, we ask you					
C679 Take the word of God with you	CH:Celebration Hymnal for Everyone	679		Take the word of God with you					
C68 Battle is o’er	CH:Celebration Hymnal for Everyone	68		Battle is o’er					
C680 Take this moment	CH:Celebration Hymnal for Everyone	680		Take this moment					
C681 Tantum ergo	CH:Celebration Hymnal for Everyone	681	*	Tantum ergo					
C682 Taste and see	CH:Celebration Hymnal for Everyone	682		Taste and see					
C683 Te Deum laudamus	CH:Celebration Hymnal for Everyone	683	*	Te Deum laudamus					
C684 Tell out my soul	CH:Celebration Hymnal for Everyone	684		Tell out my soul					
C685 Thank you for giving me the morning	CH:Celebration Hymnal for Everyone	685		Thank you for giving me the morning					
C686 The angel Gabriel	CH:Celebration Hymnal for Everyone	686	*	The angel Gabriel					
C687 The bakerwoman	CH:Celebration Hymnal for Everyone	687		The bakerwoman					
C688 The Church’s one foundation	CH:Celebration Hymnal for Everyone	688	*	The Church’s one foundation					
C689 The coming of our God	CH:Celebration Hymnal for Everyone	689	*	The coming of our God					
C69 Be still, and know I am with you	CH:Celebration Hymnal for Everyone	69		Be still, and know I am with you					
C690 The day of resurrection	CH:Celebration Hymnal for Everyone	690	*	The day of resurrection					
C691 The day thou gavest	CH:Celebration Hymnal for Everyone	691	*	The day thou gavest					
C692 The first Nowell	CH:Celebration Hymnal for Everyone	692	*	The first Nowell					
C693 The gift of the Holy Spirit	CH:Celebration Hymnal for Everyone	693		The gift of the Holy Spirit					
C694 The God, whom earth, and sea, and sky	CH:Celebration Hymnal for Everyone	694	*	The God, whom earth, and sea, and sky					
C695 The green life rises from the earth	CH:Celebration Hymnal for Everyone	695		The green life rises from the earth					
C696 The head that once was crowned	CH:Celebration Hymnal for Everyone	696	*	The head that once was crowned					
C697 The heav’nly Word, proceeding forth	CH:Celebration Hymnal for Everyone	697	*	The heav’nly Word, proceeding forth					
C698 The King of glory comes	CH:Celebration Hymnal for Everyone	698		The King of glory comes					
C699 The King of love my shepherd is	CH:Celebration Hymnal for Everyone	699	*	The King of love my shepherd is					
C7 Abba, Abba, Father	CH:Celebration Hymnal for Everyone	7		Abba, Abba, Father					
C70 Be still and know that I am God (Iona)	CH:Celebration Hymnal for Everyone	70		Be still and know that I am God (Iona)					
C700 The King shall come when morning	CH:Celebration Hymnal for Everyone	700	*	The King shall come when morning					
C701 The kingdom of God	CH:Celebration Hymnal for Everyone	701		The kingdom of God					
C702 The Kingdom of Heaven is yours	CH:Celebration Hymnal for Everyone	702		The Kingdom of Heaven is yours					
C703 The light of Christ	CH:Celebration Hymnal for Everyone	703		The light of Christ					
C704 The cry of the poor	CH:Celebration Hymnal for Everyone	704		The cry of the poor					
C704 The Lord hears the cry of the poor	CH:Celebration Hymnal for Everyone	704		The Lord hears the cry of the poor					
C705 The Lord is my shepherd (Richards)	CH:Celebration Hymnal for Everyone	705		The Lord is my shepherd (Richards)					
C706 The Lord’s my shepherd (Irvive)	CH:Celebration Hymnal for Everyone	706	*	The Lord’s my shepherd (Irvive)					
C707 The Magnificat	CH:Celebration Hymnal for Everyone	707		The Magnificat					
C708 The Mass is ended	CH:Celebration Hymnal for Everyone	708		The Mass is ended					
C709 The Master came to bring good news	CH:Celebration Hymnal for Everyone	709		The Master came to bring good news					
C71 Be still and know that I am God (Anon)	CH:Celebration Hymnal for Everyone	71	*	Be still and know that I am God (Anon)					
C710 The prophet, in his hunger	CH:Celebration Hymnal for Everyone	710		The prophet, in his hunger					
C711 The race that long in darkness	CH:Celebration Hymnal for Everyone	711		The race that long in darkness					
C712 The royal banners forward go	CH:Celebration Hymnal for Everyone	712	*	The royal banners forward go					
C713 The seed is Christ’s	CH:Celebration Hymnal for Everyone	713	*	The seed is Christ’s					
C714 The Spirit is moving	CH:Celebration Hymnal for Everyone	714		The Spirit is moving					
C715 Thanks be to God	CH:Celebration Hymnal for Everyone	715		Thanks be to God					
C716 The Spirit of the Lord	CH:Celebration Hymnal for Everyone	716	*	The Spirit of the Lord					
C717 The Virgin Mary had a baby boy	CH:Celebration Hymnal for Everyone	717	*	The Virgin Mary had a baby boy					
C718 The voice of God goes out through the world	CH:Celebration Hymnal for Everyone	718		The voice of God goes out through the world					
C719 The wandering flock of Israel	CH:Celebration Hymnal for Everyone	719		The wandering flock of Israel					
C72 Be still, for the presence of the Lord	CH:Celebration Hymnal for Everyone	72		Be still, for the presence of the Lord					
C720 More desired than gold	CH:Celebration Hymnal for Everyone	720		More desired than gold					
C720 The word of God is more desired than gold	CH:Celebration Hymnal for Everyone	720		The word of God is more desired than gold					
C721 There is a green hill far away	CH:Celebration Hymnal for Everyone	721	*	There is a green hill far away					
C722 There is a river that flows from God above	CH:Celebration Hymnal for Everyone	722		There is a river that flows from God above					
C723 There is a world	CH:Celebration Hymnal for Everyone	723		There is a world					
C724 There is one thing I ask	CH:Celebration Hymnal for Everyone	724		There is one thing I ask					
C725 There lived a man	CH:Celebration Hymnal for Everyone	725		There lived a man					
C726 Stay awake	CH:Celebration Hymnal for Everyone	726		Stay awake					
C726 There will be signs upon the sun	CH:Celebration Hymnal for Everyone	726		There will be signs upon the sun					
C727 They hung him on a cross	CH:Celebration Hymnal for Everyone	727	*	They hung him on a cross					
C728 Thine be the glory	CH:Celebration Hymnal for Everyone	728	*	Thine be the glory					
C729 This day God gives me	CH:Celebration Hymnal for Everyone	729		This day God gives me					
C73 Be still, my soul	CH:Celebration Hymnal for Everyone	73	*	Be still, my soul					
C730 This is my body, broken for you	CH:Celebration Hymnal for Everyone	730		This is my body, broken for you					
C731 This is the day	CH:Celebration Hymnal for Everyone	731		This is the day					
C732 This is my will, my one command	CH:Celebration Hymnal for Everyone	732		This is my will, my one command					
C733 This is the image of the Queen	CH:Celebration Hymnal for Everyone	733	*	This is the image of the Queen					
C734 This is what Yahweh asks of you	CH:Celebration Hymnal for Everyone	734		This is what Yahweh asks of you					
C735 This joyful Eastertide	CH:Celebration Hymnal for Everyone	735	*	This joyful Eastertide					
C736 This little light of mine	CH:Celebration Hymnal for Everyone	736	*	This little light of mine					
C737 Behold the Lamb of God (Willett)	CH:Celebration Hymnal for Everyone	737		Behold the Lamb of God (Willett)					
C737 Those who were in the dark	CH:Celebration Hymnal for Everyone	737		Those who were in the dark					
C738 Thou whose almighty Word	CH:Celebration Hymnal for Everyone	738	*	Thou whose almighty Word					
C739 Though the mountains may fall	CH:Celebration Hymnal for Everyone	739		Though the mountains may fall					
C74 Be thou my vision	CH:Celebration Hymnal for Everyone	74	*	Be thou my vision					
C740 Through all the changing scenes of life	CH:Celebration Hymnal for Everyone	740	*	Through all the changing scenes of life					
C741 Thy hand, O God, has guided	CH:Celebration Hymnal for Everyone	741	*	Thy hand, O God, has guided					
C742 To be the body of the Lord	CH:Celebration Hymnal for Everyone	742		To be the body of the Lord					
C743 To Christ the Lord of worlds we sing	CH:Celebration Hymnal for Everyone	743		To Christ the Lord of worlds we sing					
C744 To Christ, the Prince of Peace	CH:Celebration Hymnal for Everyone	744	*	To Christ, the Prince of Peace					
C745 To God be the glory	CH:Celebration Hymnal for Everyone	745	*	To God be the glory					
C746 To God with gladness sing	CH:Celebration Hymnal for Everyone	746		To God with gladness sing					
C747 To Jesus Christ, our sovereign King	CH:Celebration Hymnal for Everyone	747		To Jesus Christ, our sovereign King					
C748 To Jesus’ Heart all burning	CH:Celebration Hymnal for Everyone	748	*	To Jesus’ Heart all burning					
C749 To the name that brings salvation	CH:Celebration Hymnal for Everyone	749	*	To the name that brings salvation					
C75 Be thou my vision (anacrusic version)	CH:Celebration Hymnal for Everyone	75		Be thou my vision (anacrusic version)					
C750 Trust in the Lord	CH:Celebration Hymnal for Everyone	750		Trust in the Lord					
C751 Trust is in the eyes of a tiny babe	CH:Celebration Hymnal for Everyone	751		Trust is in the eyes of a tiny babe					
C752 Turn to me	CH:Celebration Hymnal for Everyone	752		Turn to me					
C753 Unite us, Lord, in peace	CH:Celebration Hymnal for Everyone	753		Unite us, Lord, in peace					
C754 Unless a grain of wheat	CH:Celebration Hymnal for Everyone	754		Unless a grain of wheat					
C755 Unto us is born a Son	CH:Celebration Hymnal for Everyone	755		Unto us is born a Son					
C756 Upon thy table	CH:Celebration Hymnal for Everyone	756	*	Upon thy table					
C757 Vaster far than any ocean	CH:Celebration Hymnal for Everyone	757	*	Vaster far than any ocean					
C758 Veni, Creator Spiritus	CH:Celebration Hymnal for Everyone	758	*	Veni, Creator Spiritus					
C759 Veni Sancte Spiritus	CH:Celebration Hymnal for Everyone	759		Veni Sancte Spiritus					
C76 Be with me, Lord (Joncas)	CH:Celebration Hymnal for Everyone	76		Be with me, Lord (Joncas)					
C760 Victimae paschali laudes	CH:Celebration Hymnal for Everyone	760	*	Victimae paschali laudes					
C761 Virgin, wholly marvellous	CH:Celebration Hymnal for Everyone	761	*	Virgin, wholly marvellous					
C762 Wait for the Lord	CH:Celebration Hymnal for Everyone	762		Wait for the Lord					
C763 Wake, O wake! with tidings thrilling	CH:Celebration Hymnal for Everyone	763	*	Wake, O wake! with tidings thrilling					
C764 Wake up! The dawn is near	CH:Celebration Hymnal for Everyone	764		Wake up! The dawn is near					
C765 Walk with me, oh my Lord	CH:Celebration Hymnal for Everyone	765		Walk with me, oh my Lord					
C766 We are bound for the promised land	CH:Celebration Hymnal for Everyone	766		We are bound for the promised land					
C767 We are gathering together unto him	CH:Celebration Hymnal for Everyone	767	*	We are gathering together unto him					
C768 Siyahamba	CH:Celebration Hymnal for Everyone	768		Siyahamba					
C768 We are marching in the light of God	CH:Celebration Hymnal for Everyone	768		We are marching in the light of God					
C769 We are one in the Spirit	CH:Celebration Hymnal for Everyone	769		We are one in the Spirit					
C77 Because the Lord is my shepherd	CH:Celebration Hymnal for Everyone	77		Because the Lord is my shepherd					
C770 We are your people	CH:Celebration Hymnal for Everyone	770		We are your people					
C771 We believe in God the Father (Kendrick)	CH:Celebration Hymnal for Everyone	771		We believe in God the Father (Kendrick)					
C772 We cannot measure	CH:Celebration Hymnal for Everyone	772		We cannot measure					
C773 We celebrate this festive day	CH:Celebration Hymnal for Everyone	773		We celebrate this festive day					
C774 Song of the Body of Christ	CH:Celebration Hymnal for Everyone	774		Song of the Body of Christ					
C774 We come to share our story	CH:Celebration Hymnal for Everyone	774		We come to share our story					
C775 We cry ‘Hosanna, Lord!’	CH:Celebration Hymnal for Everyone	775		We cry ‘Hosanna, Lord!’					
C776 We gather together as brothers and sisters	CH:Celebration Hymnal for Everyone	776		We gather together as brothers and sisters					
C777 We give God thanks	CH:Celebration Hymnal for Everyone	777		We give God thanks					
C778 We have a gospel to proclaim	CH:Celebration Hymnal for Everyone	778		We have a gospel to proclaim					
C779 We have been told	CH:Celebration Hymnal for Everyone	779		We have been told					
C78 Behold the Lamb of God (Iona)	CH:Celebration Hymnal for Everyone	78	*	Behold the Lamb of God (Iona)					
C780 Earthen Vessels	CH:Celebration Hymnal for Everyone	780		Earthen Vessels					
C780 We hold a treasure	CH:Celebration Hymnal for Everyone	780		We hold a treasure					
C781 Now we remain	CH:Celebration Hymnal for Everyone	781		Now we remain					
C781 We hold the death of the Lord	CH:Celebration Hymnal for Everyone	781		We hold the death of the Lord					
C782 We plough the fields, and scatter	CH:Celebration Hymnal for Everyone	782	*	We plough the fields, and scatter					
C783 We praise you and thank you	CH:Celebration Hymnal for Everyone	783		We praise you and thank you					
C784 We praise you, Father, for your gift	CH:Celebration Hymnal for Everyone	784		We praise you, Father, for your gift					
C785 Te Deum	CH:Celebration Hymnal for Everyone	785		Te Deum					
C785 We praise you, God, confessing you as Lord	CH:Celebration Hymnal for Everyone	785		We praise you, God, confessing you as Lord					
C786 We shall overcome	CH:Celebration Hymnal for Everyone	786		We shall overcome					
C787 We shall draw water joyfully	CH:Celebration Hymnal for Everyone	787		We shall draw water joyfully					
C788 We three Kings of Orient are	CH:Celebration Hymnal for Everyone	788	*	We three Kings of Orient are					
C789 We walk by faith	CH:Celebration Hymnal for Everyone	789		We walk by faith					
C79 Bethlehem! of noblest cities	CH:Celebration Hymnal for Everyone	79	*	Bethlehem! of noblest cities					
C790 We will walk through the valley	CH:Celebration Hymnal for Everyone	790		We will walk through the valley					
C791 Were you there when they crucified my Lord?	CH:Celebration Hymnal for Everyone	791	*	Were you there when they crucified my Lord?					
C792 Welcome, all ye noble saints	CH:Celebration Hymnal for Everyone	792		Welcome, all ye noble saints					
C793 What can we offer you	CH:Celebration Hymnal for Everyone	793		What can we offer you					
C794 What child is this?	CH:Celebration Hymnal for Everyone	794	*	What child is this?					
C795 Servant Song	CH:Celebration Hymnal for Everyone	795		Servant Song					
C795 What do you want of me	CH:Celebration Hymnal for Everyone	795		What do you want of me					
C796 What does the Lord require	CH:Celebration Hymnal for Everyone	796		What does the Lord require					
C797 What is this place?	CH:Celebration Hymnal for Everyone	797		What is this place?					
C798 What wondrous love is this	CH:Celebration Hymnal for Everyone	798		What wondrous love is this					
C799 Whatsoever you do	CH:Celebration Hymnal for Everyone	799		Whatsoever you do					
C8 Abba, Father send your Spirit	CH:Celebration Hymnal for Everyone	8		Abba, Father send your Spirit					
C80 Bind us together	CH:Celebration Hymnal for Everyone	80		Bind us together					
C800 When I needed a neighbour	CH:Celebration Hymnal for Everyone	800		When I needed a neighbour					
C801 When I survey the wondrous cross	CH:Celebration Hymnal for Everyone	801	*	When I survey the wondrous cross					
C802 When, in our music, God is glorified	CH:Celebration Hymnal for Everyone	802		When, in our music, God is glorified					
C803 When Israel was in Egypt’s land	CH:Celebration Hymnal for Everyone	803	*	When Israel was in Egypt’s land					
C804 When John baptised by Jordan’s river	CH:Celebration Hymnal for Everyone	804		When John baptised by Jordan’s river					
C805 When morning gilds the skies	CH:Celebration Hymnal for Everyone	805		When morning gilds the skies					
C806 When the King shall come again	CH:Celebration Hymnal for Everyone	806		When the King shall come again					
C807 When the time came to stretch out his arms	CH:Celebration Hymnal for Everyone	807		When the time came to stretch out his arms					
C808 Where are you bound, Mary?	CH:Celebration Hymnal for Everyone	808		Where are you bound, Mary?					
C809 Where is love and loving–kindness	CH:Celebration Hymnal for Everyone	809		Where is love and loving–kindness					
C81 Bless the Lord my soul (Taizé)	CH:Celebration Hymnal for Everyone	81		Bless the Lord my soul (Taizé)					
C810 While shepherds watched their flocks	CH:Celebration Hymnal for Everyone	810	*	While shepherds watched their flocks					
C811 Who honours courage here	CH:Celebration Hymnal for Everyone	811		Who honours courage here					
C812 The Summons	CH:Celebration Hymnal for Everyone	812		The Summons					
C812 Will you come and follow me	CH:Celebration Hymnal for Everyone	812		Will you come and follow me					
C813 The Servant Song	CH:Celebration Hymnal for Everyone	813		The Servant Song					
C813 Will you let me be your servant	CH:Celebration Hymnal for Everyone	813		Will you let me be your servant					
C814 With a song in our hearts	CH:Celebration Hymnal for Everyone	814		With a song in our hearts					
C815 With open hands, we come before you	CH:Celebration Hymnal for Everyone	815		With open hands, we come before you					
C816 O Lord, I know you are near	CH:Celebration Hymnal for Everyone	816		O Lord, I know you are near					
C816 You are near	CH:Celebration Hymnal for Everyone	816		You are near					
C817 O Lord, you are my strength	CH:Celebration Hymnal for Everyone	817		O Lord, you are my strength					
C818 Ye choirs of new Jerusalem	CH:Celebration Hymnal for Everyone	818	*	Ye choirs of new Jerusalem					
C819 Ye servants of God, your master proclaim	CH:Celebration Hymnal for Everyone	819	*	Ye servants of God, your master proclaim					
C82 Bless the Lord, O my soul (E Walker)	CH:Celebration Hymnal for Everyone	82		Bless the Lord, O my soul (E Walker)					
C820 Ye sons and daughters of the Lord	CH:Celebration Hymnal for Everyone	820	*	Ye sons and daughters of the Lord					
C821 Bring forth the Kingdom	CH:Celebration Hymnal for Everyone	821		Bring forth the Kingdom					
C821 You are salt for the earth	CH:Celebration Hymnal for Everyone	821		You are salt for the earth					
C822 You are the King of glory	CH:Celebration Hymnal for Everyone	822		You are the King of glory					
C823 You are the Lord	CH:Celebration Hymnal for Everyone	823		You are the Lord					
C824 You are the Vine	CH:Celebration Hymnal for Everyone	824		You are the Vine					
C825 You have put on Christ	CH:Celebration Hymnal for Everyone	825		You have put on Christ					
C826 You, Israel, return now	CH:Celebration Hymnal for Everyone	826		You, Israel, return now					
C827 Deliver us O Lord	CH:Celebration Hymnal for Everyone	827		Deliver us O Lord					
C827 You lead us O Lord from our bondage	CH:Celebration Hymnal for Everyone	827		You lead us O Lord from our bondage					
C828 You must cry out the Word	CH:Celebration Hymnal for Everyone	828	*	You must cry out the Word					
C829 You sat down at the right hand	CH:Celebration Hymnal for Everyone	829		You sat down at the right hand					
C83 Blessed are they	CH:Celebration Hymnal for Everyone	83	*	Blessed are they					
C830 Be not afraid	CH:Celebration Hymnal for Everyone	830		Be not afraid					
C830 You shall cross the barren desert	CH:Celebration Hymnal for Everyone	830		You shall cross the barren desert					
C831 You shall go out with joy	CH:Celebration Hymnal for Everyone	831		You shall go out with joy					
C832 On eagle’s wings	CH:Celebration Hymnal for Everyone	832		On eagle’s wings					
C832 You who dwell in the shelter of the Lord	CH:Celebration Hymnal for Everyone	832		You who dwell in the shelter of the Lord					
C833 God save our gracious Queen	CH:Celebration Hymnal for Everyone	833	*	God save our gracious Queen					
C835 A mighty God is the Lord	CH:Celebration Hymnal for Everyone	835		A mighty God is the Lord					
C837 Praise the Lord from the heavens	CH:Celebration Hymnal for Everyone	837	*	Praise the Lord from the heavens					
C84 Blessed assurance	CH:Celebration Hymnal for Everyone	84	*	Blessed assurance					
C842 O gracious Light, Lord Jesus Christ	CH:Celebration Hymnal for Everyone	842		O gracious Light, Lord Jesus Christ					
C844 O Lord, let my prayer rise before you	CH:Celebration Hymnal for Everyone	844		O Lord, let my prayer rise before you					
C845 The earth trembled before the Lord	CH:Celebration Hymnal for Everyone	845		The earth trembled before the Lord					
C846 Lord our God, merciful and loving	CH:Celebration Hymnal for Everyone	846		Lord our God, merciful and loving					
C847 The Lord is King	CH:Celebration Hymnal for Everyone	847		The Lord is King					
C848 Ours were the griefs he bore	CH:Celebration Hymnal for Everyone	848		Ours were the griefs he bore					
C849 My soul glorifies the Lord	CH:Celebration Hymnal for Everyone	849		My soul glorifies the Lord					
C85 Blessed be God! (Haas)	CH:Celebration Hymnal for Everyone	85		Blessed be God! (Haas)					
C852 When I call, answer me	CH:Celebration Hymnal for Everyone	852		When I call, answer me					
C853 O come, bless the Lord	CH:Celebration Hymnal for Everyone	853		O come, bless the Lord					
C856a Adoramus in Aeternum	CH:Celebration Hymnal for Everyone	856a		Adoramus in Aeternum					
C857 Adeste Fideles	CH:Celebration Hymnal for Everyone	857		Adeste Fideles					
C858 All over the world	CH:Celebration Hymnal for Everyone	858		All over the world					
C859 As I kneel before you	CH:Celebration Hymnal for Everyone	859		As I kneel before you					
C859a Behold the Lamb of God (Stanley)	CH:Celebration Hymnal for Everyone	859a		Behold the Lamb of God (Stanley)					
C86 Blessed be the Lord	CH:Celebration Hymnal for Everyone	86		Blessed be the Lord					
C860 Blest be the Lord (The Benedictus)	CH:Celebration Hymnal for Everyone	860		Blest be the Lord (The Benedictus)					
C860 The Benedictus	CH:Celebration Hymnal for Everyone	860		The Benedictus					
C861 Bread I bring	CH:Celebration Hymnal for Everyone	861		Bread I bring					
C862 Bread of life, truth eternal	CH:Celebration Hymnal for Everyone	862		Bread of life, truth eternal					
C863 Broken for me	CH:Celebration Hymnal for Everyone	863		Broken for me					
C864 Children of God	CH:Celebration Hymnal for Everyone	864		Children of God					
C865 Come let us go	CH:Celebration Hymnal for Everyone	865		Come let us go					
C866 Come to the feast	CH:Celebration Hymnal for Everyone	866		Come to the feast					
C867 Faithful One	CH:Celebration Hymnal for Everyone	867		Faithful One					
C868 Father God I wonder	CH:Celebration Hymnal for Everyone	868		Father God I wonder					
C869 Father, I know (Song to the Trinity)	CH:Celebration Hymnal for Everyone	869		Father, I know (Song to the Trinity)					
C869 Song to the Trinity	CH:Celebration Hymnal for Everyone	869		Song to the Trinity					
C87 Blessèd Jesus at thy word	CH:Celebration Hymnal for Everyone	87	*	Blessèd Jesus at thy word					
C870 Gifts of bread and wine	CH:Celebration Hymnal for Everyone	870		Gifts of bread and wine					
C871 God to enfold you	CH:Celebration Hymnal for Everyone	871		God to enfold you					
C872 Going home	CH:Celebration Hymnal for Everyone	872		Going home					
C873 Holy Spirit we welcome you	CH:Celebration Hymnal for Everyone	873		Holy Spirit we welcome you					
C874 I cannot tell	CH:Celebration Hymnal for Everyone	874		I cannot tell					
C875 I know that my Redeemer lives	CH:Celebration Hymnal for Everyone	875		I know that my Redeemer lives					
C876 His tender love	CH:Celebration Hymnal for Everyone	876		His tender love					
C876 I will call upon the Lord (His tender love)	CH:Celebration Hymnal for Everyone	876		I will call upon the Lord (His tender love)					
C877 I will call upon the Lord who is worthy	CH:Celebration Hymnal for Everyone	877		I will call upon the Lord who is worthy					
C878 If we are living, we are in the Lord	CH:Celebration Hymnal for Everyone	878		If we are living, we are in the Lord					
C879 In God’s good time	CH:Celebration Hymnal for Everyone	879		In God’s good time					
C88 Blest are the pure in heart	CH:Celebration Hymnal for Everyone	88	*	Blest are the pure in heart					
C880 Into the family of God	CH:Celebration Hymnal for Everyone	880		Into the family of God					
C881 Jesus be the centre	CH:Celebration Hymnal for Everyone	881		Jesus be the centre					
C882 Holy and annointed One	CH:Celebration Hymnal for Everyone	882		Holy and annointed One					
C882 Jesus, Jesus (Holy and anointed one)	CH:Celebration Hymnal for Everyone	882		Jesus, Jesus (Holy and anointed one)					
C883 Jesus, name above all names	CH:Celebration Hymnal for Everyone	883		Jesus, name above all names					
C884 Jesus put this song into our hearts	CH:Celebration Hymnal for Everyone	884		Jesus put this song into our hearts					
C885 Laudate, laudate Dominum	CH:Celebration Hymnal for Everyone	885		Laudate, laudate Dominum					
C886 Lead me Lord	CH:Celebration Hymnal for Everyone	886		Lead me Lord					
C887 Let us go forth in the peace of Christ	CH:Celebration Hymnal for Everyone	887		Let us go forth in the peace of Christ					
C888 Let your living water flow	CH:Celebration Hymnal for Everyone	888		Let your living water flow					
C889 Like a shepherd I will feed you (We will rise again)	CH:Celebration Hymnal for Everyone	889		Like a shepherd I will feed you (We will rise again)					
C889 We will rise again	CH:Celebration Hymnal for Everyone	889		We will rise again					
C89 Blest are they, the poor in spirit	CH:Celebration Hymnal for Everyone	89		Blest are they, the poor in spirit					
C890 Listen, let your heart keep seeking	CH:Celebration Hymnal for Everyone	890		Listen, let your heart keep seeking					
C891 Christ be our Light	CH:Celebration Hymnal for Everyone	891		Christ be our Light					
C891 Longing for light (Christ be our Light)	CH:Celebration Hymnal for Everyone	891		Longing for light (Christ be our Light)					
