470		To the name that brings salvation	ORIEL
471		We love the place, O God	QUAM DILECTA
472a		When all thy mercies, O my God	BELGRAVE
472b		When all thy mercies, O my God	CONTEMPLATION
473a		When morning gilds the skies	O SEIGNEUR
473b		When morning gilds the skies	LAUDES DOMINI
474		Who is this so weak and helpless	EBENEZER (TON-Y-BOTEL)
475		Ye holy angels bright	DARWALL'S 148TH
476		Ye servants of God, your Master proclaim	PADERBORN
477		Ye that know the Lord is gracious	RUSTINGTON
478		Ye watchers and ye holy ones	LASST UNS ERFREUEN
479		Faith of our fathers, taught of old	O MENSCH BEWEIN
480		In Christ there is no East or West	MANCHESTER
481		Jesus, Lord, we look to thee	TUNBRIDGE
482		Spread, O spread, thou mighty word	GOTT SEI DANK
483		The Church of God a kingdom is	CAPEL
484		The Church's one foundation	SOMERSTOWN
485		Thy hand, O God, has guided	THORNBURY
486		We have a gospel to proclaim	FULDA
487		You, living Christ, our eyes behold	LAUS DEO
488		And did those feet in ancient time	JERUSALEM
489		God save our gracious Queen	NATIONAL ANTHEM
490		Judge eternal, throned in splendour	RHUDDLAN
491		Lord, while for all mankind we pray	ABERDEEN (ST PAUL)
492		O God of earth and altar	KING'S LYNN
493		Rejoice, O land, in God thy might	WAREHAM
494		Christ is the world's true Light	RINKART (KOMMT SEELEN)
495		God is working his purpose out as year succeeds to year	BENSON
496		O Christ the Lord, O Christ the King	FARMBOROUGH
497		O Lord our God, arise!	WINDERMERE
498		Son of God, eternal Saviour	EVERTON
499		Thy kingdom come, O God	ST CECILIA
500		Thy kingdom come! on bended knee	IRISH
501		Drop down, ye heavens, from above	RORATE CAELI
502		Saviour eternal!	SALUS AETERNA
503		O Wisdom, which camest out of the mouth of the most High
504		My soul doth magnify the Lord
505		Come rejoicing	LAETABUNDUS
506		A light to lighten the Gentiles
507		Hear us, O Lord, have mercy upon us	ATTENDE
508		The children of the Hebrews
509		All glory, laud and honour	ST THEODULPH
510		O Jerusalem, look toward the East, and behold
511		Ride on, ride on in majesty!	WINCHESTER NEW
512		Blest by the sun, the olive tree	GONFALON ROYAL
513		Here in Christ, we gather, love of Christ our calling	UBI CARITAS
514		Saved by his body, hallowed by his blood	COME CHRIST'S BELOVED
515		They part my garments among them
516a		Behold the wood of the Cross
516b		Behold the wood of the Cross
517a		Sing, my tongue, the glorious battle	CRUX FIDELIS
517b		Sing, my tongue, the glorious battle	PANGE LINGUA
517c		Sing, my tongue, the glorious battle	PICARDY
518a		Send forth thy Spirit, O Lord
518b		I will sing to the Lord
518c		With joy you will draw water
518d		My soul is athirst for God
519		Christians to the Paschal Victim	VICTIMAE PASCHALI
520		Come, thou Holy Spirit come	VENI, SANCTE SPIRITUS
521		Laud, O Sion, thy salvation	LAUDA, SION, SALVATOREM
522		Sion's daughters Sons of Jerusalem!	JERUSALEM ET SION FILIAE
523		Spouse of Christ, whose earthly conflict	SPONSA CHRISTI
524		Day of wrath and doom impending	DIES IRAE, DIES ILLA
525		Rest eternal grant unto them O Lord	INTROIT
526		Give rest, O Christ, to thy servant with thy saints	CONTAKION OF THE DEAD
527		Versicle, response and collects
528		Show me your ways, O Lord
529		O taste and see that the Lord is good
530		As the running deer seeks the flowing brook
531		Jesus reigns, our Lord and King
532		Have mercy upon me, O God, in your great love
533		O God, my God, for you I long
534		How lovely is your dwelling place
535		Sing to the Lord a new song
536		O my soul, bless the Lord
537		Praise the Lord, O my soul
538		To God the Lord raise hymns of praise
539		O give thanks to the Lord, for he is good
540		I will bless your name for ever, my God and King
541a		Lord, have mercy
541b		Glory to God in the highest
541c		A reading from the Holy Gospel
541d		The Lord be with you
541e		Holy, holy, holy Lord
541f		Christ has died: Christ is risen
541g		Blessing and honour and glory and power
541h		Lamb of God, you take away the sins of the world
542a		Lord have mercy upon us
542b		Kyrie eleison
542c		Glory be to God on high
542d		I believe in one God, the Father almighty
542e		The Lord be with you
542f		Holy, holy, holy Lord God of hosts
542g		Blessed is he that cometh in the name of the Lord
542h		Our Father, who art in heav'n
542i		O Lamb of God, that takest away the sins of the world
