Seq	Date	PropersID	Rank	Note	FirstReadingReference	ResponsorialPsalmReference	SecondReadingReference	GospelAlleluiaReference	GospelReadingReference
157	09/12	Most Holy Name of the Blessed Virgin Mary		Common of the Blessed Virgin Mary	Gal 4:4-7	Luke 1:46-47,48-49,50-51,52-53,54-55		cf. Luke 1:45	Luke 1:39-47
158	09/13	St John Chrysostom, Bishop, Doctor	Memorial	Common of Pastors, or Common of Doctors of the Church	Eph 4:1-7,11-13	Ps 40:2+4,7-8a,8b-9,10			Mark 4:1-10,13-20|4:1-9
159	09/14	Exaltation of the Holy Cross	Feast	Proper	Num 21:4b-9	Ps 78:1bc-2,34-35,36-37,38	Phil 2:6-11		John 3:13-17
160	09/15	Our Lady of Sorrows	Memorial	Proper Sequence & Gospel	Heb 5:7-9	Ps 31:2-3b,3cd-4,5-6,15-16,20	Sequence:Stabat Mater		John 19:25-27|Luke 2:33-35
161	09/16	St Cornelius, Pope, Martyr, & St Cyprian, Bishop, Martyr	Memorial	Common of Martyrs, or Common of Pastors	2 Cor 4:7-15	Ps 126:1bc-2ab,2cd-3,4-5,6		2 Cor 1:3b-4a	John 17:11b-19
162	09/17	St Robert Bellarmine, Bishop, Doctor		Common of Pastors, or Common of Doctors of the Church	Wis 7:7-10,15-16	Ps 19:8,9,10,11		John 6:63c,68c	Matt 7:21-29
163	09/17	St Hildegard of Bingen, Virgin, Doctor		Common of Virgins, or Common of Holy Men and Women: For Religious	Songs 8:6-7	Ps 45:11-12,14-15,16-17		Matt 5:8	Matt 25:1-13
164	09/19	St Januarius, Bishop, Martyr		Common of Martyrs, or Common of Pastors	Hebr 10:32-36	Ps 126:1bc-2ab,2cd-3,4-5,6		James 1:12	John 12:24-26
165	09/20	St Andrew Kim Taegon, Priest Martyr, St Paul Chong Hasang, Catechist, Martyr, & their Companions, Martyrs	Memorial	Common of Martyrs	Wis 3:1-9,|Rom 8:31b-39	Ps 126:1bc-2ab,2cd-3,4-5,6		1 Pet 4:14	Luke 9:23-26
166	09/21	St Matthew, Apostle, Evangelist	Feast	Proper	Eph 4:1-7,11-13	Ps 19:2-3,4-5			Matt 9:9-13
167	09/23	St Pius of Pietrelcina, Priest (Padre Pio)	Memorial	Common of Pastors, or Common of Holy Men and Women: For Religious	Gal 2:19-20	Ps 128:1-2,3,4-5		Luke 21:36	Matt 16:24-27
168	09/26	Ss Cosmas & Damian, Martyrs		Common of Martyrs	Wis 3:1-9	Ps 126:1bc-2ab,2cd-3,4-5,6		James 1:12	Matt 10:28-33
169	09/27	St Vincent de Paul, Priest	Memorial	Common of Pastors: For Missionaries, or Common of Holy Men and Women: For Those Who Work for the Underprivileged	1 Cor 1:26-31	Ps 112:1bc-2,3-4,5-7,7-8,9		John 10:14	Matt 9:35-38
170	09/28	St Matthew, Apostle, Evangelist		Common of Martyrs	2 Mac 7:1-2,9-14	Ps 34:2-3,4-5,6-7,8-9		Matt 5:10	John 15:18-21
171	09/28	St Wenceslaus, Martyr		Common of Martyrs	1 Petr 3:14-17	Ps 126:1-2ab,2cd-3,4-5,6		Matt 5:10	Matt 10:34-39
172	09/29	Ss Michael, Gabriel, & Raphael, Archangels	Feast	Proper	Dan 7:9-10,13-14|Rev 12:7-12a	Ps 138:1-2ab,2cde-3,4-5		Ps 103:21	John 1:47-51
173	09/30	St Jerome, Priest, Doctor	Memorial	Common of Doctors of the Church, or Common of Pastors	2 Tim 3:14-17	Ps 119:9,10,11,12,13,14		cf. Acts 16:14b	Matt 13:47-52
174	10/01	St Thérèse of the Child Jesus, Virgin, Doctor	Memorial	Common of Virgins, or Common of Holy Men and Women: For Religious	Isa 66:10-14c	Ps 131:1bcde,2,3		cf. Matt 11:25	Matt 18:1-5
175	10/02	Holy Guardian Angels	Memorial	Proper Gospel	Exod 23:20-23	Ps 91:1-2,3-4ab,4c-6,10-11		Ps 103:21	Matt 18:1-5,10
176	10/04	St Francis of Assisi, Religious	Memorial	Common of Holy Men and Women: For Religious	Gal 6:14-18	Ps 16:1b-2a+5,7-8,11		cf. Matt 11:25	Matt 11:25-30
177	10/05	Bl. Francis Xavier Seelos		Common of Pastors: For Missionaries					
178	10/05	St Maria Faustina (Helena) Kowalska, Virgin		Common of Virgins, or Common of Holy Men and Women: For Religious	Eph 3:14-19	Ps 103:1bc-2,3-4,8-9,13-14,17-18a		Matt 11:28	Matt 11:25-30
179	10/06	St Bruno, Priest		Common of Pastors, or Common of Holy Men and Women: For Religious	Phil 3:8-14	Ps 1:1-2,3,4+6		John 8:12	Luke 9:57-62
180	10/06	Bl. Marie-Rose Durocher, Virgin		Common of Virgins, or Common of Holy Men and Women: For Religious					
181	10/07	Our Lady of the Rosary	Memorial	Common of the Blessed Virgin Mary	Acts 1:12-14	Luke 1:46-47,48-49,50-51,52-53,54-55		cf. Luke 1:28	Luke 1:26-38
182	10/09	St Denis, Bishop, Martyr, & his Companions, Martyrs		Common of Martyrs	2 Cor 6:4-10	Ps 126:1bc-2ab,2cd-3,4-5,6		John 8:12	Matt 5:13-16
183	10/09	St John Leonardi, Priest		Common of Pastors, or Common of Holy Men and Women: For Those Who Work for the Underprivileged	2 Cor 4:1-2,5-7	Ps 96:1-2,2-3,7-8,10		Mark 1:17	Luke 5:1-11
184	10/11	St John XXIII, Pope		Common of Pastors: For a Pope	Ezek 34:11-16	Ps 23:1-3a,4,5,6		John 10:14	John 21:15-17
185	10/14	St Callistus I, Pope, Martyr		Common of Martyrs, or Common of Pastors: For a Pope	1 Petr 5:1-4	Ps 40:2+4ab. 7-8a,8b-9,10		John 15:15b	Luke 22:24-30
186	10/15	St Teresa of Jesus, Virgin, Doctor	Memorial	Common of Virgins, or Common of Holy Men and Women: For Religious	Rom 8:22-27	Ps 19:8,9,10,11		John 15:9b,5b	John 15:1-8
187	10/16	St Hedwig, Religious		Common of Holy Men and Women: For Religious	Sir 26:1-4,13-16	Ps 128:1-2,3,4-5		John 8:31b-32	Mark 3:31-35
188	10/16	St Margaret Mary Alacoque, Virgin		Common of Virgins, or Common of Holy Men and Women: For Religious	Eph 3:14-19	Ps 23:1b-3a,4,5,6		cf. Matt 11:25	Matt 11:25-30
189	10/17	St Ignatius of Antioch, Bishop, Martyr	Memorial	Common of Martyrs, or Common of Pastors	Phil 3:17—4:1	Ps 34:2-3,4-5,6-7,8-9		James 1:12	John 12:24-26
190	10/18	St Luke, Evangelist	Feast	Proper	2 Tim 4:10-17b	Ps 145:10-11,12-13,17-18		John 15:16	Luke 10:1-9
191	10/19	Ss Jean de Brébeuf & Isaac Jogues, Priests, Martyrs, & Companions, Martyrs		Common of Martyrs, or Common of Pastors: For Missionaries	2 Cor 4:7-15	Ps 126:1bc-2ab,2cd-3,4-5,6		Matt 28:19a,20b	Matt 28:16-20
192	10/20	St Paul of the Cross, Priest		Common of Pastors, or Common of Holy Men and Women: For Religious	1 Cor 1:18-25	Ps 117:1bc,2		Matt 5:6	Matt 16:24-27
193	10/22	St John Paul II, Pope		Common of Pastors: For a Pope	Isa 52:7-10	Ps 96:1-2a,2b-3,7-8a,10		John 10:14	John 21:15-17
194	10/23	St John of Capistrano, Priest		Common of Pastors: For Missionaries	2 Cor 5:14-20	Ps 16:1b-2a+5,7-8,11		John 8:12	Luke 9:57-62
195	10/24	St Anthony Mary Claret, Bishop		Common of Pastors: For Missionaries	Isa 52:7-10	Ps 96:1-2a,2b-3,7-8a,10		Mark 1:17	Mark 1:14-20
196	10/28	Ss Simon & Jude, Apostles	Feast	Proper	Eph 2:19-22	Ps 19:2-3,4-5			Luke 6:12-19
197	11/01	All Saints	Solemnity	Proper	Rev 7:2-4,9-14	Ps 24:1bc-2,3-4ab,5-6	1 John 3:1-3	Matt 11:28	Matt 5:1-12a
198	11/02	All Souls	Solemnity	[From the readings for the Masses for the Dead, nos. 1011-1015]	[3 options]	[3 options]	[13 options]	[5 options]	[12 options]
199	11/03	St Martin de Porres, Religious		Common of Holy Men and Women: For Religious	Phil 4:4-9	Ps 131:1bcde,2,3		John 13:34	Matt 22:34-40
200	11/04	St Charles Borromeo, Bishop	Memorial	Common of Pastors	Rom 12:3-13	Ps 89:2-3,4-5,21-22,25+27		John 10:14	John 10:11-16
201	11/09	Dedication of the Lateran Basilica in Rome	Feast	Proper	Ezek 47:1-2,8-9,12	Ps 46:2-3,5-6,8-9	1 Cor 3:9c-11,16-17	2 Chr 7:16	John 2:13-22
202	11/10	St Leo the Great, Pope, Doctor	Memorial	Common of Pastors: For a Pope, or Common of Doctors of the Church	Sir 39:6-10	Ps 37:3-4,5-6,30-31		Mark 1:17	Matt 16:13-19
203	11/11	St Martin of Tours, Bishop	Memorial	Common of Pastors, or Common of Holy Men and Women: For Religious	Isa 61:1-3abcd	Ps 89:2-3,4-5,21-22,25+27		John 13:34	Matt 25:31-40
204	11/12	St Josaphat, Bishop, Martyr	Memorial	Common of Martyrs, or Common of Pastors	Eph 4:1-7,11-13	Ps 1:1-2,3,4+6		John 15:9b,5b	John 17:20-26
205	11/13	St Frances Xavier Cabrini, Virgin		Common of Virgins, or Common of Holy Men and Women: For Religious					
206	11/15	St Albert the Great, Bishop, Doctor		Common of Pastors, or Common of Doctors of the Church	Sir 15:1-6	Ps 119:9,10,11,12,13,14		cf. Acts 16:14b	Matt 13:47-52
207	11/16	St Margaret of Scotland		Common of Holy Men and Women: For Those Who Work for the Underprivileged	Is 58:6-11	Ps 112:1-2,3-4,5-6,7-8,9		John 13:34	John 15:9-17
208	11/16	St Gertrude, Virgin		Common of Virgins, or Common of Holy Men and Women: For Religious	Eph 3:14-19	Ps 23:1b-3a,4,5,6		John 15:9b,5b	John 15:1-8
209	11/17	St Elizabeth of Hungary, Religious	Memorial	Common of Holy Men and Women: For Those Who Work for the Underprivileged, or For Religious	1 John 3:14-18	Ps 34:2-3,4-5,6-7,8-9,10-11		John 13:34	Luke 6:27-38
210	11/18	Dedication of the Basilicas of Ss Peter & Paul, Apostles		Proper	Acts 28:11-16,30-31	Ps 98:1,2-3ab,3cd-4,5-6			Matt 14:22-33
211	11/18	St Rose Philippine Duchesne, Virgin		Common of Virgins, or Common of Holy Men and Women: For Religious					
212	11/21	Presentation of our Lady	Memorial	Common of the Blessed Virgin Mary	Zech 2:14-17	Luke 1:46-47,48-49,50-51,52-53,54-55		Luke 11:28	Matt 12:46-50
213	11/22	St Cecilia, Virgin, Martyr	Memorial	Common of Martyrs, or Common of Virgins	Hos 2:16bc,17cd,21-22	Ps 45:11-12,14-15,16-17			Matt 25:1-13
214	11/23	St Clement I, Pope, Martyr		Common of Martyrs, or Common of Pastors: For a Pope	1 Petr 5:1-4	Ps 89:2-3,4-5,21-22,25+27		Mark 1:17	Matt 16:13-19
215	11/23	St Columban, Abbot		Common of Pastors: For Missionaries, or Common of Holy Men and Women: For Religious	Is 52:7-10	Ps 96:1-2a,2b-3,7-8a,10		John 8:12	Luke 9:57-62
216	11/23	Bl Miguel Agustín Pro, Priest, Martyr		Common of Martyrs, or Common of Pastors					
217	11/24	St Andrew Dung-Lac, Priest, Martyr, & Companions, Martyrs	Memorial	Common of Martyrs	Wis 3:1-9	Ps 126:1bc-2ab,2cd-3,4-5,6		1 Pet 4:14	Matt 10:17-22
218	11/25	St Catherine of Alexandria, Virgin, Martyr		Common of Martyrs, or Common of Virgins	Rev 21:5-7	Ps 124:2-3,4-5,7-8			Matt 10:28-33
219	11/30	St Andrew, Apostle	Feast	Proper	Rom 10:9-18	Ps 19:8,9,10,11		Matt 4:19	Matt 4:18-22
220	12/01	St Francis Xavier, Priest	Memorial	Common of Pastors: For Missionaries	1 Cor 9:16-19,22-23	Ps 117:1bc,2		Matt 28:19a,20b	Mark 16:15-20
221	12/04	St John of Damascus, Priest, Religious, Doctor		Common of Pastors, or Common of Doctors of the Church	2 Tim 1:13-14;2:1-3	Ps 19:8,9,10,11		John 14:23	Matt 25:14-30
222	12/06	St Nicholas, Bishop		Common of Pastors	Is 6:1-8	Ps 40:2+4,7-8a,8b-9,10		Luke 4:18	Luke 10:1-9
223	12/07	St Ambrose, Bishop, Doctor	Memorial	Common of Pastors, or Common of Doctors of the Church	Eph 3:8-12	Ps 89:2-3,4-5,21-22,25+27		John 10:14	John 10:11-16
224	12/08	Immaculate Conception of our Lady	Solemnity	Proper	Gen 3:9-15,20	Ps 98:1,2-3ab,3cd-4	Eph 1:3-6,11-12	cf. Luke 1:28	Luke 1:26-38
225	12/09	St Juan Diego Cuauhtlatoatzin		Common of Holy Men and Women	1 Cor 1:26-31	Ps 131:1bcde,2,3		cf. Matt 11:25	Matt 11:25-30
226	12/10	Our Lady of Loreto		Common of the Blessed Virgin Mary	Isa 7:10-14;8:10	Luke 1:46-47,48-49,50-51,52-53,54-55		Luke 11:28	Luke 1:26-38
227	12/11	St Damasus I, Pope		Common of Pastors: For a Pope	Acts 20:17-18a,28-32,36	Ps 110:1,2,3,4		John 15:15b	John 15:9-17
228	12/12	Our Lady of Guadalupe	Feast	Proper	Zech 2:14-17,|Rev 11:19a;12:1-6a,10ab	Judith 13:18bcde,19			Luke 1:26-38,|Luke 1:39-47
229	12/13	St Lucy, Virgin, Martyr	Memorial	Common of Martyrs, or Common of Virgins	2 Cor 10:17-11:2	Ps 31:3cd-4,6+8ab,16bc+17			Matt 25:1-13
230	12/14	St John of the Cross, Priest, Doctor	Memorial	Common of Pastors, or Common of Doctors of the Church	1 Cor 2:1-10a	Ps 37:3-4,5-6,30-31		Matt 5:3	Luke 14:25-33
231	12/21	St Peter Canisius, Priest, Doctor		Common of Pastors, or Common of Doctors of the Church	2 Tim 4:1-5	Ps 40:2+4,7-8a,8b-9,10		Matt 5:16	Matt 5:13-19
232	12/23	St John of Kanty, Priest		Common of Pastors: For Those Who Work for the Underprivileged	James 2:14-17	Ps 112:1bc-2,3-4,5-6,7-8,9		John 13:34	Luke 6:27-38
233	12/26	St Stephen, Protomartyr	Feast	Proper	Acts 6:8-10;7:54-59	Ps 31:3cd-4,6+8ab,16bc+17		Ps 118:26a+27a	Matt 10:17-22
234	12/27	St John, Apostle, Evangelist	Feast	Proper	1 John 1:1-4	Ps 97:1-2,5-6,11-12			John 20:1a+2-8
235	12/28	Holy Innocents, Martyrs	Feast	Proper	1 John 1:5—2:2	Ps 124:2-3,4-5,7b-8			Matt 2:13-18
236	12/29	St Thomas Becket, Bishop, Martyr		Common of Martyrs, or Common of Pastors	2 Tim 2:8-13;3:10-12	Ps 34:2-3,4-5,6-7,8-9		Matt 5:6	Matt 16:24-27
237	12/31	St Sylvester I, Pope		Common of Pastors: For a Pope	Ezek 34:11-16	Ps 23:1-3a,4,5,6		Mark 1:17	Matt 16:13-19
239	Mon after Pentecost	Blessed Virgin Mary, Mother of the Church	Memorial	Proper	Gen 3:9-15,20|Acts 1:12-14	Ps 87:1-2,3+5,6-7			John 19:25-34
240	Sat after 2nd Sun after Pentecost	Immaculate Heart of our Lady		Common of the Blessed Virgin Mary, except Proper Gospel:	Isa 61:9-11	1 Sam 2:1,4-5,6-7,8abcd		cf. Luke 2:19	Luke 2:41-51
