Key	PrintedLessonReference	LectorReference	LectorText	PropersID	Y	R	LessonReference	RSVCELessonText	ESVCELessonText	CoverdaleText	BCPLookup	ChronSeq	BookNames_en	BlankColumn
ORDINARY TIME XXX A 4	Matthew 22:34-40	Gospel of our Lord Jesus Christ according to St Matthew	34 But when the Pharisees heard that he had silenced the Sad'ducees, they came together. 35 And one of them, a lawyer, asked him a question, to test him. 36 "Teacher, which is the great commandment in the law?" 37 And he said to him, "You shall love the Lord your God with all your heart, and with all your soul, and with all your mind. 38 This is the great and first commandment. 39 And a second is like it, You shall love your neighbor as yourself. 40 On these two commandments depend all the law and the prophets."	ORDINARY TIME XXX	A	4	Matthew 22:34-40	34 But when the Pharisees heard that he had silenced the Sad'ducees, they came together. 35 And one of them, a lawyer, asked him a question, to test him. 36 "Teacher, which is the great commandment in the law?" 37 And he said to him, "You shall love the Lord your God with all your heart, and with all your soul, and with all your mind. 38 This is the great and first commandment. 39 And a second is like it, You shall love your neighbor as yourself. 40 On these two commandments depend all the law and the prophets."				1212	Matthew	
ORDINARY TIME XXXI A 1	Malachi 1:14b—2:2b,8-10	Book of the Prophet Malachi		ORDINARY TIME XXXI	A	1	Malachi 1:14b—2:2b,8-10					1213	Malachi	
ORDINARY TIME XXXI A 2	Psalms 131	Book of Psalms		ORDINARY TIME XXXI	A	2	Psalms 131:1,2,3					1214	Psalms	
ORDINARY TIME XXXI A 3	1 Thessalonians 2:7b-9,13	First Epistle of St Paul to the Thessalonians		ORDINARY TIME XXXI	A	3	1 Thessalonians 2:7b-9,13					1215	1 Thessalonians	
ORDINARY TIME XXXI A 4	Matthew 23:1-12	Gospel of our Lord Jesus Christ according to St Matthew		ORDINARY TIME XXXI	A	4	Matthew 23:1-12					1216	Matthew	
ORDINARY TIME XXXII A 1	Wisdom 6:12-16	Wisdom of Solomon	12 Wisdom is radiant and unfading, and she is easily discerned by those who love her, and is found by those who seek her. 13 She hastens to make herself known to those who desire her. 14 He who rises early to seek her will have no difficulty, for he will find her sitting at his gates. 15 To fix one's thought on her is perfect understanding, and he who is vigilant on her account will soon be free from care, 16 because she goes about seeking those worthy of her, and she graciously appears to them in their paths, and meets them in every thought.	ORDINARY TIME XXXII	A	1	Wisdom 6:12-16	12 Wisdom is radiant and unfading, and she is easily discerned by those who love her, and is found by those who seek her. 13 She hastens to make herself known to those who desire her. 14 He who rises early to seek her will have no difficulty, for he will find her sitting at his gates. 15 To fix one's thought on her is perfect understanding, and he who is vigilant on her account will soon be free from care, 16 because she goes about seeking those worthy of her, and she graciously appears to them in their paths, and meets them in every thought.				1217	Wisdom	
ORDINARY TIME XXXII A 2	Psalms 63	Book of Psalms	1 O GOD, thou art my God * early will I seek thee. 2 My soul thirsteth for thee, my flesh also longeth after thee * in a barren and dry land where no water is. 3 Thus have I looked for thee in holiness * that I might behold thy power and glory. 4 For thy loving-kindness is better than the life itself * my lips shall praise thee. 5 As long as I live will I magnify thee on this manner * and lift up my hands in thy Name. 6 My soul shall be satisfied, even as it were with marrow and fatness * when my mouth praiseth thee with joyful lips. 7 Have I not remembered thee in my bed * and thought upon thee when I was waking?	ORDINARY TIME XXXII	A	2	Psalms 63:2-8	1 O God, thou art my God, I seek thee, my soul thirsts for thee; my flesh faints for thee, as in a dry and weary land where no water is. 2 So I have looked upon thee in the sanctuary, beholding thy power and glory. 3 Because thy steadfast love is better than life, my lips will praise thee. 4 So I will bless thee as long as I live; I will lift up my hands and call on thy name. 5 My soul is feasted as with marrow and fat, and my mouth praises thee with joyful lips, 6 when I think of thee upon my bed, and meditate on thee in the watches of the night; 7 for thou hast been my help, and in the shadow of thy wings I sing for joy.		1 O GOD, thou art my God * early will I seek thee. 2 My soul thirsteth for thee, my flesh also longeth after thee * in a barren and dry land where no water is. 3 Thus have I looked for thee in holiness * that I might behold thy power and glory. 4 For thy loving-kindness is better than the life itself * my lips shall praise thee. 5 As long as I live will I magnify thee on this manner * and lift up my hands in thy Name. 6 My soul shall be satisfied, even as it were with marrow and fatness * when my mouth praiseth thee with joyful lips. 7 Have I not remembered thee in my bed * and thought upon thee when I was waking?	Psalms63.1|Psalms63.2|Psalms63.3|Psalms63.4|Psalms63.5|Psalms63.6|Psalms63.7|	1218	Psalms	
ORDINARY TIME XXXII A 3	1 Thessalonians 4:13-18	First Epistle of St Paul to the Thessalonians	13 But we would not have you ignorant, brethren, concerning those who are asleep, that you may not grieve as others do who have no hope. 14 For since we believe that Jesus died and rose again, even so, through Jesus, God will bring with him those who have fallen asleep. 15 For this we declare to you by the word of the Lord, that we who are alive, who are left until the coming of the Lord, shall not precede those who have fallen asleep. 16 For the Lord himself will descend from heaven with a cry of command, with the archangel's call, and with the sound of the trumpet of God. And the dead in Christ will rise first; 17 then we who are alive, who are left, shall be caught up together with them in the clouds to meet the Lord in the air; and so we shall always be with the Lord. 18 Therefore comfort one another with these words.	ORDINARY TIME XXXII	A	3	1 Thessalonians 4:13-18	13 But we would not have you ignorant, brethren, concerning those who are asleep, that you may not grieve as others do who have no hope. 14 For since we believe that Jesus died and rose again, even so, through Jesus, God will bring with him those who have fallen asleep. 15 For this we declare to you by the word of the Lord, that we who are alive, who are left until the coming of the Lord, shall not precede those who have fallen asleep. 16 For the Lord himself will descend from heaven with a cry of command, with the archangel's call, and with the sound of the trumpet of God. And the dead in Christ will rise first; 17 then we who are alive, who are left, shall be caught up together with them in the clouds to meet the Lord in the air; and so we shall always be with the Lord. 18 Therefore comfort one another with these words.				1219	1 Thessalonians	
ORDINARY TIME XXXII A 4	Matthew 25:1-13	Gospel of our Lord Jesus Christ according to St Matthew	1 "Then the kingdom of heaven shall be compared to ten maidens who took their lamps and went to meet the bridegroom. 2 Five of them were foolish, and five were wise. 3 For when the foolish took their lamps, they took no oil with them; 4 but the wise took flasks of oil with their lamps. 5 As the bridegroom was delayed, they all slumbered and slept. 6 But at midnight there was a cry, `Behold, the bridegroom! Come out to meet him.' 7 Then all those maidens rose and trimmed their lamps. 8 And the foolish said to the wise, `Give us some of your oil, for our lamps are going out.' 9 But the wise replied, `Perhaps there will not be enough for us and for you; go rather to the dealers and buy for yourselves.' 10 And while they went to buy, the bridegroom came, and those who were ready went in with him to the marriage feast; and the door was shut. 11 Afterward the other maidens came also, saying, `Lord, lord, open to us.' 12 But he replied, `Truly, I say to you, I do not know you.' 13 Watch therefore, for you know neither the day nor the hour.	ORDINARY TIME XXXII	A	4	Matthew 25:1-13	1 "Then the kingdom of heaven shall be compared to ten maidens who took their lamps and went to meet the bridegroom. 2 Five of them were foolish, and five were wise. 3 For when the foolish took their lamps, they took no oil with them; 4 but the wise took flasks of oil with their lamps. 5 As the bridegroom was delayed, they all slumbered and slept. 6 But at midnight there was a cry, `Behold, the bridegroom! Come out to meet him.' 7 Then all those maidens rose and trimmed their lamps. 8 And the foolish said to the wise, `Give us some of your oil, for our lamps are going out.' 9 But the wise replied, `Perhaps there will not be enough for us and for you; go rather to the dealers and buy for yourselves.' 10 And while they went to buy, the bridegroom came, and those who were ready went in with him to the marriage feast; and the door was shut. 11 Afterward the other maidens came also, saying, `Lord, lord, open to us.' 12 But he replied, `Truly, I say to you, I do not know you.' 13 Watch therefore, for you know neither the day nor the hour.				1220	Matthew	
ORDINARY TIME XXXIII A 1	Proverbs 31:10-13,19-20,30-31	Book of Proverbs	10 A good wife who can find? She is far more precious than jewels. 11 The heart of her husband trusts in her, and he will have no lack of gain. 12 She does him good, and not harm, all the days of her life. 13 She seeks wool and flax, and works with willing hands. 19 She puts her hands to the distaff, and her hands hold the spindle. 20 She opens her hand to the poor, and reaches out her hands to the needy. 30 Charm is deceitful, and beauty is vain, but a woman who fears the LORD is to be praised. 31 Give her of the fruit of her hands, and let her works praise her in the gates.	ORDINARY TIME XXXIII	A	1	Proverbs 31:10-13,19-20,30-31	10 A good wife who can find? She is far more precious than jewels. 11 The heart of her husband trusts in her, and he will have no lack of gain. 12 She does him good, and not harm, all the days of her life. 13 She seeks wool and flax, and works with willing hands. 19 She puts her hands to the distaff, and her hands hold the spindle. 20 She opens her hand to the poor, and reaches out her hands to the needy. 30 Charm is deceitful, and beauty is vain, but a woman who fears the LORD is to be praised. 31 Give her of the fruit of her hands, and let her works praise her in the gates.				1221	Proverbs	
ORDINARY TIME XXXIII A 2	Psalms 128	Book of Psalms	1 BLESSED are all they that fear the Lord * and walk in his ways. 2 For thou shalt eat the labours of thine hands * O well is thee, and happy shalt thou be. 3 Thy wife shall be as the fruitful vine * upon the walls of thine house. 4 Thy children like the olive-branches * round about thy table. 5 Lo, thus shall the man be blessed * that feareth the Lord.	ORDINARY TIME XXXIII	A	2	Psalms 128:1-5	1 Blessed is every one who fears the LORD, who walks in his ways! 2 You shall eat the fruit of the labor of your hands; you shall be happy, and it shall be well with you. 3 Your wife will be like a fruitful vine within your house; your children will be like olive shoots around your table. 4 Lo, thus shall the man be blessed who fears the LORD. 5 The LORD bless you from Zion! May you see the prosperity of Jerusalem all the days of your life!		1 BLESSED are all they that fear the Lord * and walk in his ways. 2 For thou shalt eat the labours of thine hands * O well is thee, and happy shalt thou be. 3 Thy wife shall be as the fruitful vine * upon the walls of thine house. 4 Thy children like the olive-branches * round about thy table. 5 Lo, thus shall the man be blessed * that feareth the Lord.	Psalms128.1|Psalms128.2|Psalms128.3|Psalms128.4|Psalms128.5|	1222	Psalms	
ORDINARY TIME XXXIII A 3	1 Thessalonians 5:1-6	First Epistle of St Paul to the Thessalonians	1 But as to the times and the seasons, brethren, you have no need to have anything written to you. 2 For you yourselves know well that the day of the Lord will come like a thief in the night. 3 When people say, "There is peace and security," then sudden destruction will come upon them as travail comes upon a woman with child, and there will be no escape. 4 But you are not in darkness, brethren, for that day to surprise you like a thief. 5 For you are all sons of light and sons of the day; we are not of the night or of darkness. 6 So then let us not sleep, as others do, but let us keep awake and be sober.	ORDINARY TIME XXXIII	A	3	1 Thessalonians 5:1-6	1 But as to the times and the seasons, brethren, you have no need to have anything written to you. 2 For you yourselves know well that the day of the Lord will come like a thief in the night. 3 When people say, "There is peace and security," then sudden destruction will come upon them as travail comes upon a woman with child, and there will be no escape. 4 But you are not in darkness, brethren, for that day to surprise you like a thief. 5 For you are all sons of light and sons of the day; we are not of the night or of darkness. 6 So then let us not sleep, as others do, but let us keep awake and be sober.				1223	1 Thessalonians	
ORDINARY TIME XXXIII A 4	Matthew 25:14-15,19-21	Gospel of our Lord Jesus Christ according to St Matthew	14 "For it will be as when a man going on a journey called his servants and entrusted to them his property; 15 to one he gave five talents, to another two, to another one, to each according to his ability. Then he went away. 19 Now after a long time the master of those servants came and settled accounts with them. 20 And he who had received the five talents came forward, bringing five talents more, saying, `Master, you delivered to me five talents; here I have made five talents more.' 21 His master said to him, `Well done, good and faithful servant; you have been faithful over a little, I will set you over much; enter into the joy of your master.'	ORDINARY TIME XXXIII	A	4	Matthew 25:14-15,19-21	14 "For it will be as when a man going on a journey called his servants and entrusted to them his property; 15 to one he gave five talents, to another two, to another one, to each according to his ability. Then he went away. 19 Now after a long time the master of those servants came and settled accounts with them. 20 And he who had received the five talents came forward, bringing five talents more, saying, `Master, you delivered to me five talents; here I have made five talents more.' 21 His master said to him, `Well done, good and faithful servant; you have been faithful over a little, I will set you over much; enter into the joy of your master.'				1224	Matthew	
CHRIST THE KING A 1	Ezekiel 34:11-12,15-17	Book of the Prophet Ezekiel	11 "For thus says the Lord GOD: Behold, I, I myself will search for my sheep, and will seek them out. 12 As a shepherd seeks out his flock when some of his sheep have been scattered abroad, so will I seek out my sheep; and I will rescue them from all places where they have been scattered on a day of clouds and thick darkness. 15 I myself will be the shepherd of my sheep, and I will make them lie down, says the Lord GOD. 16 I will seek the lost, and I will bring back the strayed, and I will bind up the crippled, and I will strengthen the weak, and the fat and the strong I will watch over; I will feed them in justice. 17 "As for you, my flock, thus says the Lord GOD: Behold, I judge between sheep and sheep, rams and he-goats.	CHRIST THE KING	A	1	Ezekiel 34:11-12,15-17	11 "For thus says the Lord GOD: Behold, I, I myself will search for my sheep, and will seek them out. 12 As a shepherd seeks out his flock when some of his sheep have been scattered abroad, so will I seek out my sheep; and I will rescue them from all places where they have been scattered on a day of clouds and thick darkness. 15 I myself will be the shepherd of my sheep, and I will make them lie down, says the Lord GOD. 16 I will seek the lost, and I will bring back the strayed, and I will bind up the crippled, and I will strengthen the weak, and the fat and the strong I will watch over; I will feed them in justice. 17 "As for you, my flock, thus says the Lord GOD: Behold, I judge between sheep and sheep, rams and he-goats.				1225	Ezekiel	
CHRIST THE KING A 2	Psalms 23	Book of Psalms	1 THE Lord is my shepherd * therefore can I lack nothing. 2 He shall feed me in a green pasture * and lead me forth beside the waters of comfort. 3 He shall convert my soul * and bring me forth in the paths of righteousness, for his Name's sake. 5 Thou shalt prepare a table before me against them that trouble me * thou hast anointed my head with oil, and my cup shall be full. 6 But thy loving-kindness and mercy shall follow me all the days of my life * and I will dwell in the house of the Lord for ever.	CHRIST THE KING	A	2	Psalms 23:1-3,5-6	1 The LORD is my shepherd, I shall not want; 2 he makes me lie down in green pastures. He leads me beside still waters; 3 he restores my soul. He leads me in paths of righteousness for his name's sake. 5 Thou preparest a table before me in the presence of my enemies; thou anointest my head with oil, my cup overflows. 6 Surely goodness and mercy shall follow me all the days of my life; and I shall dwell in the house of the LORD for ever.		1 THE Lord is my shepherd * therefore can I lack nothing. 2 He shall feed me in a green pasture * and lead me forth beside the waters of comfort. 3 He shall convert my soul * and bring me forth in the paths of righteousness, for his Name's sake. 5 Thou shalt prepare a table before me against them that trouble me * thou hast anointed my head with oil, and my cup shall be full. 6 But thy loving-kindness and mercy shall follow me all the days of my life * and I will dwell in the house of the Lord for ever.	Psalms23.1|Psalms23.2|Psalms23.3|Psalms23.5|Psalms23.6|	1226	Psalms	
CHRIST THE KING A 3	1 Corinthians 15:20-26,28	First Epistle of St Paul to the Corinthians	20 But in fact Christ has been raised from the dead, the first fruits of those who have fallen asleep. 21 For as by a man came death, by a man has come also the resurrection of the dead. 22 For as in Adam all die, so also in Christ shall all be made alive. 23 But each in his own order: Christ the first fruits, then at his coming those who belong to Christ. 24 Then comes the end, when he delivers the kingdom to God the Father after destroying every rule and every authority and power. 25 For he must reign until he has put all his enemies under his feet. 26 The last enemy to be destroyed is death. 28 When all things are subjected to him, then the Son himself will also be subjected to him who put all things under him, that God may be everything to every one.	CHRIST THE KING	A	3	1 Corinthians 15:20-26,28	20 But in fact Christ has been raised from the dead, the first fruits of those who have fallen asleep. 21 For as by a man came death, by a man has come also the resurrection of the dead. 22 For as in Adam all die, so also in Christ shall all be made alive. 23 But each in his own order: Christ the first fruits, then at his coming those who belong to Christ. 24 Then comes the end, when he delivers the kingdom to God the Father after destroying every rule and every authority and power. 25 For he must reign until he has put all his enemies under his feet. 26 The last enemy to be destroyed is death. 28 When all things are subjected to him, then the Son himself will also be subjected to him who put all things under him, that God may be everything to every one.				1227	1 Corinthians	
CHRIST THE KING A 4	Matthew 25:31-46	Gospel of our Lord Jesus Christ according to St Matthew	31 "When the Son of man comes in his glory, and all the angels with him, then he will sit on his glorious throne. 32 Before him will be gathered all the nations, and he will separate them one from another as a shepherd separates the sheep from the goats, 33 and he will place the sheep at his right hand, but the goats at the left. 34 Then the King will say to those at his right hand, `Come, O blessed of my Father, inherit the kingdom prepared for you from the foundation of the world; 35 for I was hungry and you gave me food, I was thirsty and you gave me drink, I was a stranger and you welcomed me, 36 I was naked and you clothed me, I was sick and you visited me, I was in prison and you came to me.' 37 Then the righteous will answer him, `Lord, when did we see thee hungry and feed thee, or thirsty and give thee drink? 38 And when did we see thee a stranger and welcome thee, or naked and clothe thee? 39 And when did we see thee sick or in prison and visit thee?' 40 And the King will answer them, `Truly, I say to you, as you did it to one of the least of these my brethren, you did it to me.' 41 Then he will say to those at his left hand, `Depart from me, you cursed, into the eternal fire prepared for the devil and his angels; 42 for I was hungry and you gave me no food, I was thirsty and you gave me no drink, 43 I was a stranger and you did not welcome me, naked and you did not clothe me, sick and in prison and you did not visit me.' 44 Then they also will answer, `Lord, when did we see thee hungry or thirsty or a stranger or naked or sick or in prison, and did not minister to thee?' 45 Then he will answer them, `Truly, I say to you, as you did it not to one of the least of these, you did it not to me.' 46 And they will go away into eternal punishment, but the righteous into eternal life."	CHRIST THE KING	A	4	Matthew 25:31-46	31 "When the Son of man comes in his glory, and all the angels with him, then he will sit on his glorious throne. 32 Before him will be gathered all the nations, and he will separate them one from another as a shepherd separates the sheep from the goats, 33 and he will place the sheep at his right hand, but the goats at the left. 34 Then the King will say to those at his right hand, `Come, O blessed of my Father, inherit the kingdom prepared for you from the foundation of the world; 35 for I was hungry and you gave me food, I was thirsty and you gave me drink, I was a stranger and you welcomed me, 36 I was naked and you clothed me, I was sick and you visited me, I was in prison and you came to me.' 37 Then the righteous will answer him, `Lord, when did we see thee hungry and feed thee, or thirsty and give thee drink? 38 And when did we see thee a stranger and welcome thee, or naked and clothe thee? 39 And when did we see thee sick or in prison and visit thee?' 40 And the King will answer them, `Truly, I say to you, as you did it to one of the least of these my brethren, you did it to me.' 41 Then he will say to those at his left hand, `Depart from me, you cursed, into the eternal fire prepared for the devil and his angels; 42 for I was hungry and you gave me no food, I was thirsty and you gave me no drink, 43 I was a stranger and you did not welcome me, naked and you did not clothe me, sick and in prison and you did not visit me.' 44 Then they also will answer, `Lord, when did we see thee hungry or thirsty or a stranger or naked or sick or in prison, and did not minister to thee?' 45 Then he will answer them, `Truly, I say to you, as you did it not to one of the least of these, you did it not to me.' 46 And they will go away into eternal punishment, but the righteous into eternal life."				1228	Matthew	
ADVENT I B 1	Isaiah 63:16-17,19; 64:2-7	Book of the Prophet Isaiah	63 16 For thou art our Father, though Abraham does not know us and Israel does not acknowledge us; thou, O LORD, art our Father, our Redeemer from of old is thy name. 17 O LORD, why dost thou make us err from thy ways and harden our heart, so that we fear thee not? Return for the sake of thy servants, the tribes of thy heritage. 19 We have become like those over whom thou hast never ruled, like those who are not called by thy name. 64 2 as when fire kindles brushwood and the fire causes water to boil -- to make thy name known to thy adversaries, and that the nations might tremble at thy presence! 3 When thou didst terrible things which we looked not for, thou camest down, the mountains quaked at thy presence. 4 From of old no one has heard or perceived by the ear, no eye has seen a God besides thee, who works for those who wait for him. 5 Thou meetest him that joyfully works righteousness, those that remember thee in thy ways. Behold, thou wast angry, and we sinned; in our sins we have been a long time, and shall we be saved? 6 We have all become like one who is unclean, and all our righteous deeds are like a polluted garment. We all fade like a leaf, and our iniquities, like the wind, take us away. 7 There is no one that calls upon thy name, that bestirs himself to take hold of thee; for thou hast hid thy face from us, and hast delivered us into the hand of our iniquities.	ADVENT I	B	1	Isaiah 63:16-17,19; 64:2-7	63 16 For thou art our Father, though Abraham does not know us and Israel does not acknowledge us; thou, O LORD, art our Father, our Redeemer from of old is thy name. 17 O LORD, why dost thou make us err from thy ways and harden our heart, so that we fear thee not? Return for the sake of thy servants, the tribes of thy heritage. 19 We have become like those over whom thou hast never ruled, like those who are not called by thy name. 64 2 as when fire kindles brushwood and the fire causes water to boil -- to make thy name known to thy adversaries, and that the nations might tremble at thy presence! 3 When thou didst terrible things which we looked not for, thou camest down, the mountains quaked at thy presence. 4 From of old no one has heard or perceived by the ear, no eye has seen a God besides thee, who works for those who wait for him. 5 Thou meetest him that joyfully works righteousness, those that remember thee in thy ways. Behold, thou wast angry, and we sinned; in our sins we have been a long time, and shall we be saved? 6 We have all become like one who is unclean, and all our righteous deeds are like a polluted garment. We all fade like a leaf, and our iniquities, like the wind, take us away. 7 There is no one that calls upon thy name, that bestirs himself to take hold of thee; for thou hast hid thy face from us, and hast delivered us into the hand of our iniquities.				2000	Isaiah	
ADVENT I B 2	Psalms 80	Book of Psalms	1 HEAR, O thou Shepherd of Israel, thou that leadest Joseph like a sheep * shew thyself also, thou that sittest upon the cherubims. 2 Before Ephraim, Benjamin, and Manasses * stir up thy strength, and come, and help us. 14 Turn thee again, thou God of hosts, look down from heaven * behold, and visit this vine; 15 And the place of the vineyard that thy right hand hath planted * and the branch that thou madest so strong for thyself. 17 Let thy hand be upon the man of thy right hand * and upon the son of man, whom thou madest so strong for thine own self. 18 And so will not we go back from thee * O let us live, and we shall call upon thy Name.	ADVENT I	B	2	Psalms 80:2-3,15-16,18-19	1 Give ear, O Shepherd of Israel, thou who leadest Joseph like a flock! Thou who art enthroned upon the cherubim, shine forth 2 before E'phraim and Benjamin and Manas'seh! Stir up thy might, and come to save us! 14 Turn again, O God of hosts! Look down from heaven, and see; have regard for this vine, 15 the stock which thy right hand planted. 17 But let thy hand be upon the man of thy right hand, the son of man whom thou hast made strong for thyself! 18 Then we will never turn back from thee; give us life, and we will call on thy name!		1 HEAR, O thou Shepherd of Israel, thou that leadest Joseph like a sheep * shew thyself also, thou that sittest upon the cherubims. 2 Before Ephraim, Benjamin, and Manasses * stir up thy strength, and come, and help us. 14 Turn thee again, thou God of hosts, look down from heaven * behold, and visit this vine; 15 And the place of the vineyard that thy right hand hath planted * and the branch that thou madest so strong for thyself. 17 Let thy hand be upon the man of thy right hand * and upon the son of man, whom thou madest so strong for thine own self. 18 And so will not we go back from thee * O let us live, and we shall call upon thy Name.	Psalms80.1|Psalms80.2|Psalms80.14|Psalms80.15|Psalms80.17|Psalms80.18|	2001	Psalms	
ADVENT I B 3	1 Corinthians 1:3-9	First Epistle of St Paul to the Corinthians	3 Grace to you and peace from God our Father and the Lord Jesus Christ. 4 I give thanks to God always for you because of the grace of God which was given you in Christ Jesus, 5 that in every way you were enriched in him with all speech and all knowledge -- 6 even as the testimony to Christ was confirmed among you -- 7 so that you are not lacking in any spiritual gift, as you wait for the revealing of our Lord Jesus Christ; 8 who will sustain you to the end, guiltless in the day of our Lord Jesus Christ. 9 God is faithful, by whom you were called into the fellowship of his Son, Jesus Christ our Lord.	ADVENT I	B	3	1 Corinthians 1:3-9	3 Grace to you and peace from God our Father and the Lord Jesus Christ. 4 I give thanks to God always for you because of the grace of God which was given you in Christ Jesus, 5 that in every way you were enriched in him with all speech and all knowledge -- 6 even as the testimony to Christ was confirmed among you -- 7 so that you are not lacking in any spiritual gift, as you wait for the revealing of our Lord Jesus Christ; 8 who will sustain you to the end, guiltless in the day of our Lord Jesus Christ. 9 God is faithful, by whom you were called into the fellowship of his Son, Jesus Christ our Lord.				2002	1 Corinthians	
ADVENT I B 4	Mark 13:33-37	Gospel of our Lord Jesus Christ according to St Mark	33 Take heed, watch; for you do not know when the time will come. 34 It is like a man going on a journey, when he leaves home and puts his servants in charge, each with his work, and commands the doorkeeper to be on the watch. 35 Watch therefore -- for you do not know when the master of the house will come, in the evening, or at midnight, or at cockcrow, or in the morning -- 36 lest he come suddenly and find you asleep. 37 And what I say to you I say to all: Watch."	ADVENT I	B	4	Mark 13:33-37	33 Take heed, watch; for you do not know when the time will come. 34 It is like a man going on a journey, when he leaves home and puts his servants in charge, each with his work, and commands the doorkeeper to be on the watch. 35 Watch therefore -- for you do not know when the master of the house will come, in the evening, or at midnight, or at cockcrow, or in the morning -- 36 lest he come suddenly and find you asleep. 37 And what I say to you I say to all: Watch."				2003	Mark	
ADVENT II B 1	Isaiah 40:1-5,9-11	Book of the Prophet Isaiah	1 Comfort, comfort my people, says your God. 2 Speak tenderly to Jerusalem, and cry to her that her warfare is ended, that her iniquity is pardoned, that she has received from the LORD's hand double for all her sins. 3 A voice cries: "In the wilderness prepare the way of the LORD, make straight in the desert a highway for our God. 4 Every valley shall be lifted up, and every mountain and hill be made low; the uneven ground shall become level, and the rough places a plain. 5 And the glory of the LORD shall be revealed, and all flesh shall see it together, for the mouth of the LORD has spoken." 9 Get you up to a high mountain, O Zion, herald of good tidings; lift up your voice with strength, O Jerusalem, herald of good tidings, lift it up, fear not; say to the cities of Judah, "Behold your God!" 10 Behold, the Lord GOD comes with might, and his arm rules for him; behold, his reward is with him, and his recompense before him. 11 He will feed his flock like a shepherd, he will gather the lambs in his arms, he will carry them in his bosom, and gently lead those that are with young.	ADVENT II	B	1	Isaiah 40:1-5,9-11	1 Comfort, comfort my people, says your God. 2 Speak tenderly to Jerusalem, and cry to her that her warfare is ended, that her iniquity is pardoned, that she has received from the LORD's hand double for all her sins. 3 A voice cries: "In the wilderness prepare the way of the LORD, make straight in the desert a highway for our God. 4 Every valley shall be lifted up, and every mountain and hill be made low; the uneven ground shall become level, and the rough places a plain. 5 And the glory of the LORD shall be revealed, and all flesh shall see it together, for the mouth of the LORD has spoken." 9 Get you up to a high mountain, O Zion, herald of good tidings; lift up your voice with strength, O Jerusalem, herald of good tidings, lift it up, fear not; say to the cities of Judah, "Behold your God!" 10 Behold, the Lord GOD comes with might, and his arm rules for him; behold, his reward is with him, and his recompense before him. 11 He will feed his flock like a shepherd, he will gather the lambs in his arms, he will carry them in his bosom, and gently lead those that are with young.				2004	Isaiah	
ADVENT II B 2	Psalms 85	Book of Psalms	8 I will hearken what the Lord God will say concerning me * for he shall speak peace unto his people, and to his saints, that they turn not again. 9 For his salvation is nigh them that fear him * that glory may dwell in our land. 10 Mercy and truth are met together * righteousness and peace have kissed each other. 11 Truth shall flourish out of the earth * and righteousness hath looked down from heaven. 12 Yea, the Lord shall shew loving-kindness * and our land shall give her increase. 13 Righteousness shall go before him * and he shall direct his going in the way.	ADVENT II	B	2	Psalms 85:9-14	8 Let me hear what God the LORD will speak, for he will speak peace to his people, to his saints, to those who turn to him in their hearts. 9 Surely his salvation is at hand for those who fear him, that glory may dwell in our land. 10 Steadfast love and faithfulness will meet; righteousness and peace will kiss each other. 11 Faithfulness will spring up from the ground, and righteousness will look down from the sky. 12 Yea, the LORD will give what is good, and our land will yield its increase. 13 Righteousness will go before him, and make his footsteps a way.		8 I will hearken what the Lord God will say concerning me * for he shall speak peace unto his people, and to his saints, that they turn not again. 9 For his salvation is nigh them that fear him * that glory may dwell in our land. 10 Mercy and truth are met together * righteousness and peace have kissed each other. 11 Truth shall flourish out of the earth * and righteousness hath looked down from heaven. 12 Yea, the Lord shall shew loving-kindness * and our land shall give her increase. 13 Righteousness shall go before him * and he shall direct his going in the way.	Psalms85.8|Psalms85.9|Psalms85.10|Psalms85.11|Psalms85.12|Psalms85.13|	2005	Psalms	
ADVENT II B 3	2 Peter 3:8-14	Second Epistle of St Peter	8 But do not ignore this one fact, beloved, that with the Lord one day is as a thousand years, and a thousand years as one day. 9 The Lord is not slow about his promise as some count slowness, but is forbearing toward you, not wishing that any should perish, but that all should reach repentance. 10 But the day of the Lord will come like a thief, and then the heavens will pass away with a loud noise, and the elements will be dissolved with fire, and the earth and the works that are upon it will be burned up. 11 Since all these things are thus to be dissolved, what sort of persons ought you to be in lives of holiness and godliness, 12 waiting for and hastening the coming of the day of God, because of which the heavens will be kindled and dissolved, and the elements will melt with fire! 13 But according to his promise we wait for new heavens and a new earth in which righteousness dwells. 14 Therefore, beloved, since you wait for these, be zealous to be found by him without spot or blemish, and at peace.	ADVENT II	B	3	2 Peter 3:8-14	8 But do not ignore this one fact, beloved, that with the Lord one day is as a thousand years, and a thousand years as one day. 9 The Lord is not slow about his promise as some count slowness, but is forbearing toward you, not wishing that any should perish, but that all should reach repentance. 10 But the day of the Lord will come like a thief, and then the heavens will pass away with a loud noise, and the elements will be dissolved with fire, and the earth and the works that are upon it will be burned up. 11 Since all these things are thus to be dissolved, what sort of persons ought you to be in lives of holiness and godliness, 12 waiting for and hastening the coming of the day of God, because of which the heavens will be kindled and dissolved, and the elements will melt with fire! 13 But according to his promise we wait for new heavens and a new earth in which righteousness dwells. 14 Therefore, beloved, since you wait for these, be zealous to be found by him without spot or blemish, and at peace.				2006	2 Peter	
